Date,Traffic_Total(TB),Type,Lower_Bound,Upper_Bound
2025-10-23,15192.480711653074,Forecast,13673.232640487766,16711.728782818383
2025-10-24,15737.06223036578,Forecast,14163.356007329203,17310.76845340236
2025-10-25,15956.498056341647,Forecast,14360.848250707482,17552.147861975813
2025-10-26,16202.246469245365,Forecast,14582.021822320829,17822.4711161699
2025-10-27,14909.74811177751,Forecast,13418.77330059976,16400.72292295526
2025-10-28,14894.042218628785,Forecast,13404.637996765907,16383.446440491665
2025-10-29,15420.462442385991,Forecast,13878.416198147392,16962.50868662459
2025-10-30,15161.740896592819,Forecast,13645.566806933537,16677.9149862521
2025-10-31,15522.538393136938,Forecast,13970.284553823245,17074.792232450633
2025-11-01,15807.718661739184,Forecast,14226.946795565265,17388.4905279131
2025-11-02,15491.489986854709,Forecast,13942.340988169239,17040.638985540183
2025-11-03,14730.9043967766,Forecast,13257.813957098939,16203.99483645426
2025-11-04,14925.502496609559,Forecast,13432.952246948604,16418.052746270518
2025-11-05,14270.058620558557,Forecast,12843.052758502701,15697.064482614414
2025-11-06,14310.71625712523,Forecast,12879.644631412708,15741.787882837754
2025-11-07,15380.073793049156,Forecast,13842.06641374424,16918.081172354072
2025-11-08,15230.402191269613,Forecast,13707.361972142653,16753.442410396576
2025-11-09,15606.291654002856,Forecast,14045.662488602571,17166.92081940314
2025-11-10,14490.884826195539,Forecast,13041.796343575985,15939.973308815095
2025-11-11,14326.693564492602,Forecast,12894.024208043342,15759.362920941863
2025-11-12,15159.046634611317,Forecast,13643.141971150186,16674.95129807245
2025-11-13,14645.129194453411,Forecast,13180.616275008071,16109.642113898753
2025-11-14,15450.411227691671,Forecast,13905.370104922504,16995.45235046084
2025-11-15,14995.683890414088,Forecast,13496.115501372678,16495.252279455497
2025-11-16,15237.756911509217,Forecast,13713.981220358295,16761.53260266014
2025-11-17,14680.917529225244,Forecast,13212.82577630272,16149.00928214777
2025-11-18,14295.794585545795,Forecast,12866.215126991216,15725.374044100376
2025-11-19,14726.681699771301,Forecast,13254.01352979417,16199.349869748432
2025-11-20,14425.667221628304,Forecast,12983.100499465474,15868.233943791136
2025-11-21,15229.457182789447,Forecast,13706.511464510502,16752.40290106839
2025-11-22,15122.640675037817,Forecast,13610.376607534035,16634.9047425416
2025-11-23,15820.548443281992,Forecast,14238.493598953793,17402.603287610193
2025-11-24,14534.00318698304,Forecast,13080.602868284735,15987.403505681345
2025-11-25,14214.93830787356,Forecast,12793.444477086203,15636.432138660915
2025-11-26,14745.000787262506,Forecast,13270.500708536256,16219.500865988759
2025-11-27,14136.758946266349,Forecast,12723.083051639715,15550.434840892985
2025-11-28,15258.993273572289,Forecast,13733.09394621506,16784.892600929517
2025-11-29,14615.256618906118,Forecast,13153.730957015507,16076.782280796731
2025-11-30,14781.714571080052,Forecast,13303.543113972048,16259.886028188059
2025-12-01,14484.23857883686,Forecast,13035.814720953174,15932.662436720546
2025-12-02,14624.50023415433,Forecast,13162.050210738897,16086.950257569764
2025-12-03,14445.204964794468,Forecast,13000.684468315021,15889.725461273916
2025-12-04,14346.819712231882,Forecast,12912.137741008693,15781.501683455072
2025-12-05,14996.0075473658,Forecast,13496.406792629221,16495.60830210238
2025-12-06,14641.644655671453,Forecast,13177.480190104308,16105.809121238599
2025-12-07,14843.015870856278,Forecast,13358.71428377065,16327.317457941906
2025-12-08,14185.04266739132,Forecast,12766.538400652189,15603.546934130454
2025-12-09,14603.518118153246,Forecast,13143.166306337922,16063.869929968572
2025-12-10,14383.546279922215,Forecast,12945.191651929994,15821.900907914438
2025-12-11,13766.430144114678,Forecast,12389.78712970321,15143.073158526147
2025-12-12,15058.88122709505,Forecast,13552.993104385545,16564.769349804556
2025-12-13,14840.262517833498,Forecast,13356.23626605015,16324.28876961685
2025-12-14,14740.797871893357,Forecast,13266.718084704022,16214.877659082695
2025-12-15,14380.24329197182,Forecast,12942.218962774637,15818.267621169003
2025-12-16,14483.274960529327,Forecast,13034.947464476394,15931.60245658226
2025-12-17,14438.894542645825,Forecast,12995.005088381242,15882.783996910408
2025-12-18,13921.442958486858,Forecast,12529.298662638172,15313.587254335545
2025-12-19,14763.009174685772,Forecast,13286.708257217195,16239.310092154352
2025-12-20,14927.49958308125,Forecast,13434.749624773125,16420.249541389378
2025-12-21,15092.659756197048,Forecast,13583.393780577344,16601.925731816755
2025-12-22,13960.8668742677,Forecast,12564.78018684093,15356.95356169447
2025-12-23,14027.88831786798,Forecast,12625.099486081182,15430.67714965478
2025-12-24,13753.187353445892,Forecast,12377.868618101304,15128.506088790482
2025-12-25,13660.301021341136,Forecast,12294.270919207023,15026.331123475251
2025-12-26,14819.984644277367,Forecast,13337.986179849631,16301.983108705104
2025-12-27,14775.970409906475,Forecast,13298.373368915827,16253.567450897124
2025-12-28,14954.01575675417,Forecast,13458.614181078754,16449.417332429588
2025-12-29,14727.023391705354,Forecast,13254.321052534819,16199.72573087589
2025-12-30,13842.6701619465,Forecast,12458.40314575185,15226.937178141152
2025-12-31,14000.30144860251,Forecast,12600.271303742258,15400.33159346276
2026-01-01,15070.119075998957,Forecast,13563.107168399061,16577.130983598854
2026-01-02,14313.639622929035,Forecast,12882.27566063613,15745.003585221939
2026-01-03,13712.876759499244,Forecast,12341.58908354932,15084.16443544917
2026-01-04,14407.71637759378,Forecast,12966.944739834404,15848.48801535316
2026-01-05,12930.420811898228,Forecast,11637.378730708406,14223.462893088052
