Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2025-10-23,1941.2052649520467,1747.0847384568422,2135.3257914472515
2025-10-24,2009.4094773431227,1808.4685296088105,2210.3504250774354
2025-10-25,2036.0270940933108,1832.4243846839797,2239.629803502642
2025-10-26,2065.9583105979846,1859.362479538186,2272.554141657783
2025-10-27,1899.8361028775425,1709.8524925897884,2089.819713165297
2025-10-28,1896.518478676971,1706.8666308092738,2086.170326544668
2025-10-29,1962.1839445132389,1765.965550061915,2158.402338964563
2025-10-30,1927.917131027869,1735.125417925082,2120.708844130656
2025-10-31,1972.4143470223758,1775.1729123201383,2169.6557817246135
2025-11-01,2007.242617092913,1806.5183553836216,2207.9668788022045
2025-11-02,1965.70463638638,1769.134172747742,2162.275100025018
2025-11-03,1867.8758958068897,1681.0883062262008,2054.663485387579
2025-11-04,1891.2120884101241,1702.0908795691118,2080.3332972511366
2025-11-05,1806.8779815248176,1626.190183372336,1987.5657796772996
2025-11-06,1810.7369257071455,1629.663233136431,1991.8106182778602
2025-11-07,1944.6544655724604,1750.1890190152144,2139.119912129707
2025-11-08,1924.3521666756424,1731.9169500080782,2116.787383343207
2025-11-09,1970.4307106579815,1773.3876395921834,2167.4737817237797
2025-11-10,1828.2842993685435,1645.4558694316893,2011.112729305398
2025-11-11,1806.2642139332497,1625.6377925399247,1986.890635326575
2025-11-12,1909.8214925096886,1718.8393432587197,2100.8036417606577
2025-11-13,1843.7361586898246,1659.3625428208422,2028.1097745588072
2025-11-14,1943.7006502122254,1749.330585191003,2138.070715233448
2025-11-15,1885.1177106824439,1696.6059396141995,2073.6294817506882
2025-11-16,1914.1465384236628,1722.7318845812965,2105.561192266029
2025-11-17,1842.8431203633113,1658.5588083269802,2027.1274323996427
2025-11-18,1793.1786847420062,1613.8608162678056,1972.496553216207
2025-11-19,1845.862484264159,1661.2762358377431,2030.448732690575
2025-11-20,1806.7938154431372,1626.1144338988236,1987.473196987451
2025-11-21,1906.0505625957826,1715.4455063362043,2096.655618855361
2025-11-22,1891.2720009971001,1702.14480089739,2080.3992010968104
2025-11-23,1977.0757893403083,1779.3682104062775,2174.7833682743394
2025-11-24,1814.9368088129002,1633.4431279316102,1996.4304896941903
2025-11-25,1773.7595991021246,1596.3836391919122,1951.1355590123374
2025-11-26,1838.5148608618688,1654.6633747756819,2022.366346948056
2025-11-27,1761.3424456963114,1585.2082011266803,1937.4766902659428
2025-11-28,1899.7238200536328,1709.7514380482696,2089.6962020589963
2025-11-29,1818.196009469201,1636.376408522281,2000.0156104161213
2025-11-30,1837.5017486536603,1653.7515737882943,2021.2519235190266
2025-12-01,1799.1456957361843,1619.231126162566,1979.0602653098028
2025-12-02,1815.1747028878976,1633.6572325991078,1996.6921731766877
2025-12-03,1791.5414045731334,1612.38726411582,1970.695545030447
2025-12-04,1777.966338744511,1600.1697048700598,1955.7629726189623
2025-12-05,1856.980313952538,1671.2822825572841,2042.678345347792
2025-12-06,1811.6915829424124,1630.5224246481712,1992.860741236654
2025-12-07,1835.1784665630091,1651.6606199067082,2018.6963132193102
2025-12-08,1752.4576750841152,1577.2119075757037,1927.703442592527
2025-12-09,1802.744206703956,1622.4697860335605,1983.0186273743518
2025-12-10,1774.1947654183468,1596.7752888765121,1951.6142419601817
2025-12-11,1696.7362295611356,1527.062606605022,1866.4098525172492
2025-12-12,1854.56626690594,1669.109640215346,2040.0228935965342
2025-12-13,1826.1937327014612,1643.574359431315,2008.8131059716075
2025-12-14,1812.5117612383824,1631.2605851145443,1993.7629373622208
2025-12-15,1766.7683481002437,1590.0915132902194,1943.4451829102682
2025-12-16,1778.0036089261498,1600.203248033535,1955.803969818765
2025-12-17,1771.1332638137073,1594.0199374323367,1948.2465901950782
2025-12-18,1706.2863720589517,1535.6577348530566,1876.915009264847
2025-12-19,1807.9727112584465,1627.1754401326018,1988.7699823842913
2025-12-20,1826.637178513721,1643.973460662349,2009.3008963650932
2025-12-21,1845.3475699932487,1660.812812993924,2029.8823269925738
2025-12-22,1705.5752062766435,1535.017685648979,1876.132726904308
2025-12-23,1712.3628506549032,1541.1265655894128,1883.5991357203936
2025-12-24,1677.4546127213034,1509.709151449173,1845.200073993434
2025-12-25,1847.0285089917934,1662.325658092614,2031.731359890973
2025-12-26,2100.990732661414,1890.8916593952724,2311.0898059275555
2025-12-27,2070.7928911187464,1863.7136020068717,2277.8721802306213
2025-12-28,1996.798497174444,1797.1186474569997,2196.4783468918886
2025-12-29,1992.9253457530815,1793.6328111777734,2192.21788032839
2025-12-30,1878.8837191870264,1690.9953472683237,2066.772091105729
2025-12-31,1942.0090456394685,1747.8081410755217,2136.2099502034157
2026-01-01,1700.9461607828096,1530.8515447045286,1871.0407768610908
2026-01-02,1821.5208732099006,1639.3687858889107,2003.6729605308908
2026-01-03,1764.970749383748,1588.4736744453733,1941.4678243221229
2026-01-04,1815.2079846293905,1633.6871861664515,1996.7287830923296
2026-01-05,1587.621983179446,1428.8597848615016,1746.3841814973907
