Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2025-10-23,7541.340892027617,6787.206802824855,8295.47498123038
2025-10-24,7793.7625312697755,7014.386278142798,8573.138784396753
2025-10-25,7727.112426230438,6954.401183607395,8499.823668853483
2025-10-26,7775.4515267837305,6997.906374105358,8552.996679462105
2025-10-27,7089.741364857602,6380.767228371842,7798.715501343363
2025-10-28,7341.800654190497,6607.620588771448,8075.980719609547
2025-10-29,7417.766178091388,6675.989560282249,8159.542795900527
2025-10-30,7573.557430639625,6816.201687575663,8330.913173703588
2025-10-31,7638.288458718287,6874.459612846458,8402.117304590116
2025-11-01,7586.300411797543,6827.67037061779,8344.930452977298
2025-11-02,7621.919856248391,6859.727870623552,8384.111841873231
2025-11-03,7453.994844390525,6708.595359951472,8199.394328829578
2025-11-04,7359.01355252436,6623.112197271925,8094.914907776797
2025-11-05,7224.542332958061,6502.0880996622545,7946.996566253868
2025-11-06,7367.734997850388,6630.96149806535,8104.508497635427
2025-11-07,7662.168405565187,6895.951565008668,8428.385246121707
2025-11-08,7779.472187762476,7001.5249689862285,8557.419406538724
2025-11-09,7527.031015151652,6774.327913636487,8279.734116666817
2025-11-10,7209.170445659545,6488.253401093591,7930.087490225501
2025-11-11,7190.851570474092,6471.766413426683,7909.936727521502
2025-11-12,7026.77520047765,6324.097680429885,7729.452720525416
2025-11-13,7272.433049289868,6545.189744360881,7999.6763542188555
2025-11-14,7619.308334609374,6857.377501148437,8381.239168070311
2025-11-15,7572.85822322289,6815.572400900601,8330.14404554518
2025-11-16,7528.840174397798,6775.956156958018,8281.724191837578
2025-11-17,6989.842167480894,6290.857950732805,7688.826384228984
2025-11-18,7123.992353091804,6411.593117782624,7836.391588400985
2025-11-19,7126.215665901888,6413.594099311699,7838.837232492077
2025-11-20,7051.373346928289,6346.23601223546,7756.510681621118
2025-11-21,7492.1038962908715,6742.893506661784,8241.31428591996
2025-11-22,7563.468604986654,6807.1217444879885,8319.81546548532
2025-11-23,7765.534082383262,6988.980674144936,8542.087490621589
2025-11-24,7155.111474088843,6439.600326679959,7870.622621497729
2025-11-25,7157.860774950186,6442.074697455168,7873.646852445206
2025-11-26,7101.553722927058,6391.398350634352,7811.709095219764
2025-11-27,6830.521988222186,6147.469789399968,7513.574187044405
2025-11-28,7445.012012266505,6700.510811039854,8189.513213493156
2025-11-29,7447.820279299741,6703.038251369767,8192.602307229716
2025-11-30,7778.395298809625,7000.5557689286625,8556.234828690589
2025-12-01,7039.772971440102,6335.795674296092,7743.750268584113
2025-12-02,7100.490688967832,6390.441620071049,7810.539757864616
2025-12-03,7043.9947318804225,6339.59525869238,7748.394205068465
2025-12-04,6875.3055126290565,6187.774961366151,7562.836063891963
2025-12-05,7543.055822177452,6788.750239959707,8297.361404395198
2025-12-06,7478.466227417191,6730.619604675471,8226.31285015891
2025-12-07,7474.325924078597,6726.893331670738,8221.758516486458
2025-12-08,6876.324663943342,6188.692197549008,7563.957130337677
2025-12-09,7190.911580009851,6471.8204220088655,7910.002738010837
2025-12-10,6789.777160818614,6110.799444736753,7468.754876900476
2025-12-11,7058.482425864682,6352.634183278215,7764.330668451151
2025-12-12,7621.181402310991,6859.063262079892,8383.29954254209
2025-12-13,7168.597108397497,6451.7373975577475,7885.456819237248
2025-12-14,7218.252725387153,6496.4274528484375,7940.077997925869
2025-12-15,6954.284023091736,6258.855620782563,7649.71242540091
2025-12-16,6861.619138084623,6175.457224276161,7547.7810518930855
2025-12-17,6707.693122237405,6036.9238100136645,7378.462434461147
2025-12-18,6922.822298558325,6230.540068702493,7615.104528414158
2025-12-19,7102.831811143852,6392.548630029467,7813.114992258238
2025-12-20,7305.343935797499,6574.809542217749,8035.87832937725
2025-12-21,7103.917374233577,6393.525636810219,7814.309111656935
2025-12-22,7090.380786122352,6381.342707510117,7799.418864734588
2025-12-23,6760.5701263043375,6084.513113673904,7436.627138934772
2025-12-24,6814.942712389871,6133.448441150885,7496.436983628859
2025-12-25,7627.4233075062575,6864.6809767556315,8390.165638256884
2025-12-26,7980.852125243162,7182.766912718846,8778.937337767478
2025-12-27,8050.8789423248345,7245.791048092351,8855.966836557318
2025-12-28,8440.71569861145,7596.644128750305,9284.787268472595
2025-12-29,8023.9251372616845,7221.532623535516,8826.317650987854
2025-12-30,7678.3889522315485,6910.550057008394,8446.227847454704
2025-12-31,7781.372887660332,7003.235598894299,8559.510176426365
2026-01-01,6892.954726096073,6203.659253486466,7582.25019870568
2026-01-02,6949.010120978343,6254.109108880509,7643.911133076178
2026-01-03,6928.4408240494395,6235.5967416444955,7621.284906454384
2026-01-04,7168.273292470918,6451.445963223827,7885.10062171801
2026-01-05,6790.784115478841,6111.7057039309575,7469.862527026726
