Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2025-10-23,5730.111628503694,5157.100465653325,6303.122791354064
2025-10-24,6022.5220476054965,5420.269842844947,6624.774252366046
2025-10-25,5902.0037079296735,5311.803337136706,6492.2040787226415
2025-10-26,6002.306040198274,5402.075436178447,6602.536644218102
2025-10-27,5721.229110334733,5149.10619930126,6293.352021368207
2025-10-28,5603.261106152119,5042.934995536907,6163.5872167673315
2025-10-29,5893.052474906482,5303.747227415834,6482.357722397131
2025-10-30,5731.451553674373,5158.306398306936,6304.596709041811
2025-10-31,5822.748923966347,5240.474031569713,6405.023816362983
2025-11-01,6028.822298007241,5425.940068206517,6631.704527807966
2025-11-02,5840.29491891381,5256.265427022429,6424.324410805191
2025-11-03,5753.149343556804,5177.834409201123,6328.464277912484
2025-11-04,5791.740437720943,5212.566393948849,6370.914481493038
2025-11-05,5564.305032312865,5007.874529081579,6120.735535544151
2025-11-06,5762.678848723028,5186.410963850725,6338.946733595331
2025-11-07,5979.494232189062,5381.544808970156,6577.443655407968
2025-11-08,6022.1041669497035,5419.893750254733,6624.314583644675
2025-11-09,6139.767973439507,5525.791176095557,6753.744770783458
2025-11-10,5612.407119261942,5051.166407335748,6173.6478311881365
2025-11-11,5551.7015790777605,4996.531421169984,6106.871736985537
2025-11-12,5533.0411055393515,4979.7369949854165,6086.3452160932875
2025-11-13,5537.986241898555,4984.1876177087,6091.784866088411
2025-11-14,5899.074795839017,5309.167316255115,6488.982275422919
2025-11-15,5942.531808087394,5348.278627278654,6536.784988896134
2025-11-16,5931.67840211515,5338.510561903635,6524.846242326666
2025-11-17,5709.098376131682,5138.188538518514,6280.008213744851
2025-11-18,5614.231143640941,5052.808029276847,6175.654258005035
2025-11-19,5772.424981318557,5195.182483186702,6349.667479450413
2025-11-20,5576.269660730668,5018.642694657601,6133.896626803736
2025-11-21,6187.451117949026,5568.706006154124,6806.1962297439295
2025-11-22,5949.133092948732,5354.219783653859,6544.046402243606
2025-11-23,5779.556333551516,5201.600700196364,6357.511966906668
2025-11-24,5472.510105856021,4925.2590952704195,6019.761116441624
2025-11-25,5642.799874160836,5078.5198867447525,6207.07986157692
2025-11-26,5560.493063340744,5004.443757006669,6116.5423696748185
2025-11-27,5661.753036155776,5095.577732540198,6227.928339771353
2025-11-28,5910.358636502278,5319.322772852051,6501.394500152507
2025-11-29,5845.852391939504,5261.267152745553,6430.4376311334545
2025-11-30,5756.024665911335,5180.422199320202,6331.627132502469
2025-12-01,5399.678563071588,4859.710706764429,5939.646419378747
2025-12-02,5515.272268181689,4963.74504136352,6066.799494999858
2025-12-03,5656.812815670437,5091.131534103393,6222.494097237482
2025-12-04,5581.939438107244,5023.74549429652,6140.133381917969
2025-12-05,5694.0672538297895,5124.6605284468105,6263.473979212769
2025-12-06,5848.104434956708,5263.293991461038,6432.9148784523795
2025-12-07,5868.045643742423,5281.24107936818,6454.850208116665
2025-12-08,5446.471680398244,4901.824512358419,5991.118848438068
2025-12-09,5558.103879222238,5002.2934913000145,6113.914267144462
2025-12-10,5544.1001839182845,4989.690165526456,6098.5102023101135
2025-12-11,5407.729510941041,4866.956559846937,5948.502462035145
2025-12-12,5846.9428653244895,5262.2485787920405,6431.6371518569385
2025-12-13,5865.774215757249,5279.196794181525,6452.351637332975
2025-12-14,5919.850712562082,5327.865641305873,6511.83578381829
2025-12-15,5636.933059986282,5073.239753987655,6200.626365984911
2025-12-16,5365.149973750558,4828.634976375502,5901.664971125615
2025-12-17,5410.333441310645,4869.300097179581,5951.36678544171
2025-12-18,5567.098037815179,5010.388234033661,6123.8078415966975
2025-12-19,5838.85696448403,5254.971268035627,6422.742660932434
2025-12-20,5835.3755700265265,5251.838013023874,6418.91312702918
2025-12-21,6198.9067219416065,5579.016049747446,6818.797394135768
2025-12-22,5559.439861688858,5003.495875519972,6115.3838478577445
2025-12-23,5618.024617853564,5056.222156068208,6179.8270796389215
2025-12-24,5594.597434110827,5035.137690699744,6154.05717752191
2025-12-25,5750.027658239653,5175.024892415688,6325.030424063619
2025-12-26,5977.365421961629,5379.628879765466,6575.101964157792
2025-12-27,6049.2337820229695,5444.310403820673,6654.157160225267
2025-12-28,6027.6147961334,5424.85331652006,6630.37627574674
2025-12-29,5876.025337850562,5288.422804065506,6463.627871635619
2025-12-30,5548.7460568594115,4993.871451173471,6103.620662545353
2025-12-31,5754.363769739919,5178.927392765927,6329.800146713911
2026-01-01,5715.413245396614,5143.871920856953,6286.954569936276
2026-01-02,5528.20421807161,4975.383796264449,6081.024639878771
2026-01-03,5803.372231778275,5223.035008600447,6383.7094549561025
2026-01-04,5549.046414306909,4994.141772876219,6103.951055737601
2026-01-05,5397.447333854491,4857.702600469042,5937.192067239941
