Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2025-10-23,1196.4980817433518,1076.8482735690166,1316.147889917687
2025-10-24,1238.994588037639,1115.0951292338752,1362.894046841403
2025-10-25,1255.872156468084,1130.2849408212758,1381.4593721148926
2025-10-26,1274.808203547514,1147.3273831927627,1402.2890239022656
2025-10-27,1172.73895934299,1055.465063408691,1290.0128552772892
2025-10-28,1171.1289636032104,1054.0160672428894,1288.2418599635316
2025-10-29,1212.1330585121327,1090.9197526609196,1333.346364363346
2025-10-30,1191.413141535563,1072.2718273820067,1310.5544556891193
2025-10-31,1219.3717673918084,1097.4345906526275,1341.3089441309894
2025-11-01,1241.3730883868946,1117.235779548205,1365.510397225584
2025-11-02,1216.1459877420154,1094.5313889678139,1337.760586516217
2025-11-03,1156.061611095487,1040.4554499859385,1271.6677722050358
2025-11-04,1170.952378979299,1053.8571410813693,1288.047616877229
2025-11-05,1119.165683459669,1007.2491151137021,1231.0822518056361
2025-11-06,1121.987469918266,1009.7887229264394,1234.1862169100928
2025-11-07,1205.43199316138,1084.888793845242,1325.975192477518
2025-11-08,1193.3091607907984,1073.9782447117186,1312.6400768698784
2025-11-09,1222.3576014991972,1100.1218413492775,1344.593361649117
2025-11-10,1134.6190377509897,1021.1571339758908,1248.0809415260887
2025-11-11,1121.3918145830762,1009.2526331247686,1233.530996041384
2025-11-12,1186.1488477147805,1067.5339629433024,1304.7637324862585
2025-11-13,1145.5552623344583,1030.9997361010126,1260.1107885679044
2025-11-14,1208.1422076984677,1087.327986928621,1328.9564284683145
2025-11-15,1172.1929569408285,1054.9736612467457,1289.4122526349115
2025-11-16,1190.7163775455667,1071.6447397910101,1309.7880153001236
2025-11-17,1146.8182035790794,1032.1363832211714,1261.5000239369874
2025-11-18,1116.3577892686385,1004.7220103417746,1227.9935681955023
2025-11-19,1149.6175136280071,1034.6557622652065,1264.579264990808
2025-11-20,1125.7381326017721,1013.1643193415949,1238.3119458619494
2025-11-21,1188.0604010507097,1069.2543609456388,1306.8664411557809
2025-11-22,1179.3263134276017,1061.3936820848417,1297.258944770362
2025-11-23,1233.3313719307937,1109.9982347377143,1356.6645091238731
2025-11-24,1132.6481258470242,1019.3833132623217,1245.9129384317266
2025-11-25,1107.4034723636294,996.6631251272664,1218.1438195999924
2025-11-26,1148.3029188732578,1033.472626985932,1263.1332107605838
2025-11-27,1100.5554067472126,990.4998660724914,1210.610947421934
2025-11-28,1187.5118524303593,1068.7606671873234,1306.2630376733953
2025-11-29,1137.0201192934476,1023.3181073641028,1250.7221312227925
2025-11-30,1149.5709173792898,1034.6138256413608,1264.5280091172187
2025-12-01,1126.0443492373035,1013.4399143135732,1238.648784161034
2025-12-02,1136.552091007015,1022.8968819063135,1250.2073001077165
2025-12-03,1122.2254679866076,1010.0029211879469,1234.4480147852685
2025-12-04,1114.191308705596,1002.7721778350364,1225.6104395761556
2025-12-05,1164.1986765423762,1047.7788088881387,1280.618544196614
2025-12-06,1136.2875520603702,1022.6587968543332,1249.9163072664073
2025-12-07,1151.5083262141793,1036.3574935927613,1266.6591588355973
2025-12-08,1100.073565145084,990.0662086305757,1210.0809216595926
2025-12-09,1132.1248760211226,1018.9123884190104,1245.337363623235
2025-12-10,1114.6747815470603,1003.2073033923543,1226.1422597017665
2025-12-11,1066.4696483132627,959.8226834819365,1173.116613144589
2025-12-12,1166.1769081039172,1049.5592172935255,1282.794598914309
2025-12-13,1148.8345224782174,1033.9510702303958,1263.7179747260393
2025-12-14,1140.7241809264826,1026.6517628338345,1254.796599019131
2025-12-15,1112.4211805248915,1001.1790624724024,1223.6632985773808
2025-12-16,1119.9863893876814,1007.9877504489133,1231.9850283264495
2025-12-17,1116.1497354007806,1004.5347618607026,1227.7647089408588
2025-12-18,1075.7587990472284,968.1829191425056,1183.3346789519514
2025-12-19,1140.3739107638426,1026.3365196874583,1254.411301840227
2025-12-20,1152.6587945038602,1037.3929150534743,1267.9246739542464
2025-12-21,1164.9851404286098,1048.4866263857489,1281.483654471471
2025-12-22,1077.2276177363588,969.5048559627229,1184.9503795099947
2025-12-23,1082.0005103679607,973.8004593311647,1190.2005614047569
2025-12-24,1060.4206583510631,954.3785925159568,1166.4627241861695
2025-12-25,1130.5213231357427,1017.4691908221685,1243.5734554493172
2025-12-26,1273.428172073652,1146.0853548662867,1400.7709892810171
2025-12-27,1245.7012298044767,1121.131106824029,1370.2713527849246
2025-12-28,1246.497109930107,1121.8473989370964,1371.1468209231177
2025-12-29,1208.6388362900293,1087.7749526610264,1329.5027199190324
2025-12-30,1144.6060426843023,1030.1454384158721,1259.0666469527328
2025-12-31,1192.726345510576,1073.4537109595185,1311.9989800616338
2026-01-01,1079.216016389004,971.2944147501036,1187.1376180279044
2026-01-02,1156.2557108917492,1040.6301398025744,1271.8812819809243
2026-01-03,1120.881963046355,1008.7937667417194,1232.9701593509906
2026-01-04,1153.3260493710377,1037.993444433934,1268.6586543081416
2026-01-05,1009.1991241775197,908.2792117597678,1110.1190365952718
