Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2025-10-23,6440.869779801456,5796.782801821311,7084.956757781602
2025-10-24,6765.743080580601,6089.168772522541,7442.317388638661
2025-10-25,6626.616201810282,5963.954581629254,7289.277821991311
2025-10-26,6735.429265370624,6061.886338833562,7408.972191907687
2025-10-27,6416.391511855892,5774.752360670303,7058.030663041482
2025-10-28,6280.5302768548245,5652.477249169342,6908.583304540308
2025-10-29,6601.600858944319,5941.440773049887,7261.760944838751
2025-10-30,6416.920297549633,5775.22826779467,7058.612327304597
2025-10-31,6515.424400881372,5863.881960793235,7166.96684096951
2025-11-01,6742.164072394233,6067.947665154809,7416.380479633656
2025-11-02,6527.597383999026,5874.837645599123,7180.357122398928
2025-11-03,6426.5151403901145,5783.863626351103,7069.1666544291265
2025-11-04,6465.912758643454,5819.321482779109,7112.5040345078005
2025-11-05,6208.434436072595,5587.590992465336,6829.277879679856
2025-11-06,6426.0716035878295,5783.464443229047,7068.678763946613
2025-11-07,6664.002048334701,5997.601843501231,7330.402253168171
2025-11-08,6707.61324595431,6036.851921358879,7378.374570549741
2025-11-09,6834.713905238943,6151.242514715049,7518.185295762838
2025-11-10,6244.04074538928,5619.636670850353,6868.444819928209
2025-11-11,6172.916523529917,5555.624871176926,6790.208175882909
2025-11-12,6148.5889981519995,5533.7300983367995,6763.4478979672
2025-11-13,6150.497720774396,5535.447948696957,6765.547492851836
2025-11-14,6547.698288192731,5892.928459373457,7202.468117012004
2025-11-15,6592.0756444539575,5932.868080008562,7251.283208899354
2025-11-16,6576.180378417009,5918.562340575308,7233.79841625871
2025-11-17,6325.700715970087,5693.130644373078,6958.270787567097
2025-11-18,6216.929413169073,5595.236471852166,6838.622354485981
2025-11-19,6388.339921436163,5749.505929292547,7027.173913579781
2025-11-20,6167.612721872501,5550.851449685251,6784.3739940597525
2025-11-21,6839.561416148106,6155.605274533295,7523.517557762917
2025-11-22,6572.2312607224,5915.00813465016,7229.454386794641
2025-11-23,6381.104621753312,5742.994159577981,7019.215083928644
2025-11-24,6038.508476387897,5434.657628749107,6642.359324026687
2025-11-25,6222.702387663102,5600.432148896792,6844.972626429413
2025-11-26,6128.278442648445,5515.450598383601,6741.10628691329
2025-11-27,6236.1483711261235,5612.533534013512,6859.763208238736
2025-11-28,6506.077168798462,5855.469451918616,7156.684885678308
2025-11-29,6431.208714888145,5788.08784339933,7074.32958637696
2025-11-30,6328.580551507476,5695.722496356729,6961.438606658225
2025-12-01,5933.2138644836405,5339.892478035276,6526.535250932005
2025-12-02,6056.573649009006,5450.916284108105,6662.231013909907
2025-12-03,6208.251816838292,5587.426635154463,6829.076998522122
2025-12-04,6122.370743864394,5510.133669477955,6734.6078182508345
2025-12-05,6241.566510722787,5617.409859650508,6865.7231617950665
2025-12-06,6406.5194824245245,5765.867534182073,7047.171430666977
2025-12-07,6424.451432295304,5782.006289065774,7066.896575524835
2025-12-08,5959.267287955695,5363.340559160126,6555.194016751265
2025-12-09,6077.69405384689,5469.924648462201,6685.46345923158
2025-12-10,6058.670221947049,5452.803199752344,6664.537244141754
2025-12-11,5906.018234117788,5315.41641070601,6496.620057529567
2025-12-12,6381.778970102332,5743.601073092099,7019.956867112566
2025-12-13,6398.3919734584615,5758.552776112616,7038.231170804308
2025-12-14,6453.396515580508,5808.056864022457,7098.73616713856
2025-12-15,6141.183460184911,5527.06511416642,6755.301806203403
2025-12-16,5841.470134604009,5257.323121143609,6425.617148064411
2025-12-17,5887.012067532678,5298.31086077941,6475.713274285947
2025-12-18,6053.82500024998,5448.442500224982,6659.207500274978
2025-12-19,6345.391542972237,5710.852388675014,6979.930697269462
2025-12-20,6337.653533651637,5703.8881802864735,6971.418887016802
2025-12-21,6728.2693312876245,6055.4423981588625,7401.096264416387
2025-12-22,6030.4175191961995,5427.37576727658,6633.45927111582
2025-12-23,6090.1438790078255,5481.129491107043,6699.158266908608
2025-12-24,6060.937651758004,5454.843886582204,6667.031416933805
2025-12-25,6597.550851631412,5937.795766468271,7257.305936794554
2025-12-26,6969.099593430873,6272.189634087786,7666.009552773961
2025-12-27,7010.9876427133995,6309.88887844206,7712.08640698474
2025-12-28,7183.438824506424,6465.094942055782,7901.782706957067
2025-12-29,7049.588924035665,6344.6300316320985,7754.547816439232
2025-12-30,6622.551816530119,5960.296634877107,7284.806998183131
2025-12-31,6745.512787154141,6070.961508438727,7420.064065869556
2026-01-01,6160.508227922172,5544.457405129955,6776.559050714391
2026-01-02,5954.912482045314,5359.421233840783,6550.403730249846
2026-01-03,6247.317919711735,5622.586127740562,6872.049711682909
2026-01-04,5969.705203177886,5372.734682860098,6566.675723495675
2026-01-05,5802.882283440132,5222.594055096119,6383.170511784146
