Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2025-10-23,383.71209615296374,345.34088653766736,422.0833057682601
2025-10-24,414.992136169063,373.4929225521567,456.4913497859693
2025-10-25,408.6638115518984,367.79743039670853,449.53019270708825
2025-10-26,423.21967892144625,380.8977110293016,465.5416468135909
2025-10-27,379.7654990560078,341.788949150407,417.7420489616086
2025-10-28,378.61662665554604,340.75496398999144,416.4782893211007
2025-10-29,379.55685521005296,341.60116968904765,417.51254073105827
2025-10-30,366.96112307598366,330.2650107683853,403.6572353835821
2025-10-31,397.4144276681834,357.67298490136506,437.15587043500176
2025-11-01,394.67608270816015,355.20847443734414,434.1436909789762
2025-11-02,400.6432733367637,360.5789460030873,440.7076006704401
2025-11-03,382.1476296966272,343.93286672696445,420.3623926662899
2025-11-04,392.839128358138,353.5552155223242,432.12304119395185
2025-11-05,384.88950674251276,346.4005560682615,423.3784574167641
2025-11-06,372.4406508429873,335.19658575868857,409.68471592728605
2025-11-07,387.9059386162516,349.11534475462645,426.6965324778768
2025-11-08,397.38061533781485,357.64255380403335,437.1186768715964
2025-11-09,382.84797388952177,344.5631765005696,421.13277127847397
2025-11-10,386.7674040607656,348.0906636546891,425.4441444668422
2025-11-11,380.9585249920841,342.86267249287573,419.05437749129254
2025-11-12,367.7738028839772,330.99642259557953,404.551183172375
2025-11-13,357.64704410484,321.882339694356,393.41174851532406
2025-11-14,397.8874705875072,358.0987235287565,437.67621764625795
2025-11-15,386.07269460825995,347.46542514743396,424.679964069086
2025-11-16,395.04868240805735,355.54381416725164,434.5535506488631
2025-11-17,354.9568086653017,319.46112779877154,390.45248953183193
2025-11-18,361.34279405232695,325.20851464709426,397.4770734575597
2025-11-19,364.84344514305974,328.35910062875377,401.32778965736577
2025-11-20,364.22533633610897,327.80280270249807,400.6478699697199
2025-11-21,377.8426208315793,340.0583587484214,415.6268829147373
2025-11-22,384.6518343716074,346.1866509344467,423.11701780876814
2025-11-23,371.4633140699717,334.31698266297457,408.6096454769689
2025-11-24,359.1706979409899,323.2536281468909,395.0877677350889
2025-11-25,360.13901342213325,324.1251120799199,396.1529147643466
2025-11-26,362.0398832902758,325.8358949612482,398.2438716193034
2025-11-27,362.5181771446582,326.2663594301924,398.76999485912404
2025-11-28,366.3159109192502,329.68431982732517,402.94750201117523
2025-11-29,362.4567327042866,326.21105943385794,398.7024059747153
2025-11-30,381.462090887746,343.3158817989714,419.60829997652064
2025-12-01,356.09515578089605,320.48564020280645,391.7046713589857
2025-12-02,347.54065907759724,312.78659316983754,382.294724985357
2025-12-03,362.8175795087071,326.5358215578364,399.0993374595779
2025-12-04,351.790782153129,316.6117039378161,386.9698603684419
2025-12-05,375.81631318401315,338.23468186561183,413.3979445024145
2025-12-06,367.0635019342628,330.3571517408365,403.7698521276891
2025-12-07,379.97579852290426,341.97821867061384,417.9733783751947
2025-12-08,359.4840657275968,323.53565915483716,395.43247230035655
2025-12-09,344.645323948041,310.1807915532369,379.1098563428451
2025-12-10,352.1607882387058,316.9447094148352,387.37686706257637
2025-12-11,348.97346141793645,314.0761152761428,383.8708075597301
2025-12-12,370.19032117969255,333.1712890617233,407.20935329766183
2025-12-13,353.20385196677296,317.88346677009565,388.52423716345027
2025-12-14,363.5385765587037,327.18471890283337,399.8924342145741
2025-12-15,348.0544978885746,313.24904809971713,382.8599476774321
2025-12-16,327.961149248465,295.1650343236185,360.7572641733115
2025-12-17,330.9735265983436,297.8761739385092,364.07087925817797
2025-12-18,324.2859291581708,291.8573362423537,356.7145220739879
2025-12-19,352.19340095050546,316.9740608554549,387.41274104555606
2025-12-20,357.86737070142465,322.0806336312822,393.65410777156717
2025-12-21,362.149402772498,325.93446249524817,398.3643430497478
2025-12-22,334.8826525441492,301.3943872897343,368.37091779856416
2025-12-23,344.32710390148327,309.89439351133495,378.75981429163164
2025-12-24,323.3647285566935,291.02825570102414,355.7012014123629
2025-12-25,367.1891192684934,330.4702073416441,403.9080311953428
2025-12-26,436.10295287649564,392.4926575888461,479.7132481641452
2025-12-27,434.6842837000536,391.2158553300482,478.15271207005895
2025-12-28,378.82753070653007,340.9447776358771,416.7102837771831
2025-12-29,412.3829315794799,371.1446384215319,453.6212247374279
2025-12-30,397.597785138267,357.8380066244403,437.35756365209375
2025-12-31,397.65606083032844,357.8904547472956,437.4216669133613
2026-01-01,329.5246737183603,296.5722063465243,362.47714109019637
2026-01-02,342.83753401653667,308.553780614883,377.1212874181904
2026-01-03,333.4145616605245,300.07310549447203,366.75601782657697
2026-01-04,335.21100834954115,301.68990751458705,368.7321091844953
2026-01-05,314.6721217706725,283.20490959360524,346.1393339477398
