Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2025-10-23,141.02304811672363,126.92074330505127,155.125352928396
2025-10-24,143.12275426258594,128.81047883632735,157.43502968884454
2025-10-25,147.9075050054325,133.11675450488926,162.69825550597577
2025-10-26,149.06556451020407,134.15900805918366,163.97212096122448
2025-10-27,139.3611387647868,125.42502488830813,153.2972526412655
2025-10-28,143.22442401858254,128.9019816167243,157.5468664204408
2025-10-29,135.73385681391053,122.16047113251949,149.3072424953016
2025-10-30,134.26448735121684,120.83803861609516,147.69093608633855
2025-10-31,139.50043389800214,125.55039050820193,153.45047728780236
2025-11-01,148.3177158657826,133.48594427920435,163.14948745236086
2025-11-02,145.81931128195995,131.23738015376395,160.40124241015596
2025-11-03,136.83819784308093,123.15437805877285,150.52201762738903
2025-11-04,137.5811730217934,123.82305571961406,151.33929032397276
2025-11-05,133.56396971198714,120.20757274078844,146.92036668318588
2025-11-06,143.13946134424828,128.82551520982346,157.4534074786731
2025-11-07,143.45558331797986,129.11002498618188,157.80114164977786
2025-11-08,143.21699256446863,128.89529330802176,157.5386918209155
2025-11-09,144.70821269554403,130.23739142598964,159.17903396509845
2025-11-10,137.06878725813917,123.36190853232526,150.7756659839531
2025-11-11,136.1944465932041,122.5750019338837,149.81389125252454
2025-11-12,133.2711414148007,119.94402727332063,146.59825555628078
2025-11-13,136.51173498495535,122.86056148645982,150.1629084834509
2025-11-14,146.89796999566357,132.20817299609723,161.58776699522994
2025-11-15,145.2595974950707,130.73363774556364,159.78555724457777
2025-11-16,145.73824770604816,131.16442293544335,160.312072476653
2025-11-17,133.1594326755712,119.84348940801408,146.47537594312834
2025-11-18,131.70030789249896,118.53027710324906,144.87033868174888
2025-11-19,133.84659816560148,120.46193834904133,147.23125798216165
2025-11-20,134.15812805431472,120.74231524888324,147.5739408597462
2025-11-21,143.45383660960368,129.10845294864333,157.79922027056406
2025-11-22,135.8166566738108,122.23499100642972,149.39832234119189
2025-11-23,144.240087050257,129.8160783452313,158.6640957552827
2025-11-24,132.8859240035493,119.59733160319436,146.17451640390422
2025-11-25,131.99517196199068,118.79565476579161,145.19468915818976
2025-11-26,130.26509074344108,117.23858166909697,143.2915998177852
2025-11-27,128.3863401803119,115.5477061622807,141.2249741983431
2025-11-28,141.41903774633204,127.27713397169883,155.56094152096526
2025-11-29,139.24592251645203,125.32133026480683,153.17051476809723
2025-11-30,135.45549645787617,121.90994681208855,149.00104610366378
2025-12-01,128.65836595755317,115.79252936179786,141.5242025533085
2025-12-02,131.01820924105033,117.9163883169453,144.12003016515538
2025-12-03,136.12580021969475,122.51322019772527,149.73838024166423
2025-12-04,130.87024483000783,117.78322034700706,143.95726931300862
2025-12-05,133.9971503473667,120.59743531263003,147.39686538210339
2025-12-06,137.11773763629554,123.40596387266599,150.8295113999251
2025-12-07,136.86373147703725,123.17735832933353,150.55010462474098
2025-12-08,123.79382457358801,111.41444211622921,136.17320703094683
2025-12-09,130.53437088100134,117.48093379290121,143.58780796910148
2025-12-10,129.8981337944861,116.90832041503751,142.88794717393475
2025-12-11,132.14015064365958,118.92613557929363,145.35416570802556
2025-12-12,141.47042740705382,127.32338466634845,155.6174701477592
2025-12-13,139.40192565601643,125.4617330904148,153.34211822161808
2025-12-14,135.59123086224392,122.03210777601953,149.15035394846834
2025-12-15,126.75525820721113,114.07973238649002,139.43078402793225
2025-12-16,136.1108591177053,122.49977320593477,149.72194502947585
2025-12-17,129.42621950529306,116.48359755476376,142.36884145582238
2025-12-18,129.13368234851464,116.22031411366318,142.04705058336612
2025-12-19,135.30623351164374,121.77561016047937,148.83685686280813
2025-12-20,135.6943301710082,122.12489715390738,149.26376318810904
2025-12-21,134.62889662153415,121.16600695938074,148.09178628368758
2025-12-22,126.92301812235826,114.23071631012243,139.61531993459408
2025-12-23,126.81836972323534,114.1365327509118,139.5002066955589
2025-12-24,127.96146991290617,115.16532292161556,140.7576169041968
2025-12-25,143.5167266847081,129.1650540162373,157.86839935317892
2025-12-26,151.12917749794906,136.01625974815417,166.24209524774398
2025-12-27,153.59037203165545,138.2313348284899,168.94940923482102
2025-12-28,157.15444698721348,141.43900228849213,172.86989168593485
2025-12-29,155.28568109928048,139.75711298935244,170.81424920920855
2025-12-30,139.64458209069082,125.68012388162174,153.60904029975993
2025-12-31,147.76398175844443,132.9875835826,162.5403799342889
2026-01-01,129.79832769299549,116.81849492369594,142.77816046229503
2026-01-02,127.54583303633817,114.79124973270436,140.300416339972
2026-01-03,131.74039874481164,118.56635887033048,144.9144386192928
2026-01-04,131.48491122975705,118.33642010678135,144.63340235273276
2026-01-05,122.39535126998493,110.15581614298644,134.63488639698343
