Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2025-10-23,152.3210871911151,137.08897847200362,167.55319591022663
2025-10-24,160.19815371414268,144.1783383427284,176.21796908555697
2025-10-25,154.0687772769419,138.6618995492477,169.47565500463608
2025-10-26,154.47190213450904,139.02471192105813,169.91909234795995
2025-10-27,147.56156419872633,132.8054077788537,162.31772061859897
2025-10-28,144.4999061528387,130.04991553755482,158.94989676812258
2025-10-29,145.8575631049795,131.27180679448156,160.44331941547748
2025-10-30,145.69644657006467,131.12680191305822,160.26609122707114
2025-10-31,153.9314937509541,138.53834437585868,169.32464312604952
2025-11-01,156.21241929924938,140.59117736932444,171.83366122917434
2025-11-02,157.11307812093298,141.4017703088397,172.8243859330263
2025-11-03,153.68417327896935,138.31575595107242,169.0525906068663
2025-11-04,146.17838405562318,131.56054565006087,160.79622246118552
2025-11-05,152.18967651319872,136.97070886187885,167.4086441645186
2025-11-06,148.70711654371073,133.83640488933966,163.57782819808182
2025-11-07,156.76534295305484,141.08880865774935,172.44187724836033
2025-11-08,159.03095848672987,143.12786263805688,174.93405433540286
2025-11-09,153.7524684449556,138.37722160046005,169.12771528945117
2025-11-10,150.8707747535925,135.78369727823326,165.95785222895177
2025-11-11,150.31924248083786,135.28731823275407,165.35116672892167
2025-11-12,151.3918429120265,136.25265862082387,166.53102720322917
2025-11-13,150.87772744173574,135.78995469756217,165.96550018590932
2025-11-14,164.9813091498172,148.4831782348355,181.47944006479895
2025-11-15,155.7940651980153,140.21465867821377,171.37347171781684
2025-11-16,156.21329534122106,140.59196580709894,171.83462487534317
2025-11-17,148.5152451472113,133.66372063249017,163.36676966193244
2025-11-18,148.8125485010637,133.93129365095734,163.6938033511701
2025-11-19,148.65965563559539,133.79369007203584,163.52562119915493
2025-11-20,154.25711863769257,138.8314067739233,169.68283050146184
2025-11-21,162.59068044968208,146.33161240471387,178.8497484946503
2025-11-22,156.68480720341748,141.01632648307574,172.35328792375924
2025-11-23,155.99346303097835,140.39411672788052,171.5928093340762
2025-11-24,152.4775771073381,137.2298193966043,167.72533481807193
2025-11-25,149.47888749222724,134.53099874300452,164.42677624144997
2025-11-26,153.15760905300485,137.84184814770435,168.47336995830534
2025-11-27,151.95211650653243,136.75690485587918,167.14732815718568
2025-11-28,154.41372883767374,138.97235595390637,169.85510172144114
2025-11-29,163.79377154441173,147.41439438997057,180.1731486988529
2025-11-30,164.64946523890868,148.18451871501782,181.11441176279956
2025-12-01,149.85786346084532,134.8720771147608,164.84364980692988
2025-12-02,150.63495982818353,135.57146384536517,165.69845581100188
2025-12-03,152.77545416282527,137.49790874654275,168.05299957910782
2025-12-04,153.01855561858642,137.71670005672777,168.32041118044506
2025-12-05,161.70471368267164,145.53424231440448,177.87518505093882
2025-12-06,165.91976778745,149.32779100870502,182.51174456619503
2025-12-07,159.361696733543,143.4255270601887,175.2978664068973
2025-12-08,149.94824439216552,134.95341995294896,164.94306883138208
2025-12-09,148.26973173898043,133.44275856508239,163.0967049128785
2025-12-10,150.34046065414037,135.30641458872634,165.37450671955443
2025-12-11,152.56452535017135,137.30807281515422,167.8209778851885
2025-12-12,165.88128917410666,149.29316025669598,182.46941809151733
2025-12-13,158.91572608196768,143.02415347377092,174.80729869016446
2025-12-14,161.2822690364416,145.15404213279743,177.41049594008575
2025-12-15,152.99476205015864,137.6952858451428,168.29423825517452
2025-12-16,156.77967837390682,141.10171053651615,172.45764621129752
2025-12-17,160.9789853210078,144.88108678890703,177.0768838531086
2025-12-18,151.70159239459932,136.53143315513938,166.87175163405925
2025-12-19,159.59376994249672,143.63439294824704,175.5531469367464
2025-12-20,164.4011659639403,147.96104936754625,180.84128256033432
2025-12-21,163.3897346410278,147.05076117692502,179.72870810513058
2025-12-22,159.38601565490737,143.44741408941664,175.32461722039812
2025-12-23,155.59995481351638,140.03995933216476,171.15995029486803
2025-12-24,152.7926966691035,137.51342700219314,168.07196633601384
2025-12-25,148.11583872154836,133.30425484939352,162.9274225937032
2025-12-26,158.38928717817774,142.55035846035997,174.22821589599553
2025-12-27,156.48519828569204,140.83667845712284,172.13371811426126
2025-12-28,159.77217781914985,143.79496003723486,175.74939560106483
2025-12-29,159.5859649087561,143.6273684178805,175.54456139963173
2025-12-30,148.61274287634305,133.75146858870875,163.47401716397738
2025-12-31,155.03329156374187,139.5299624073677,170.53662072011608
2026-01-01,156.66385907088772,140.99747316379896,172.33024497797652
2026-01-02,161.9725138342031,145.7752624507828,178.16976521762345
2026-01-03,163.04369650814357,146.73932685732922,179.34806615895795
2026-01-04,166.42768867012884,149.78491980311597,183.07045753714175
2026-01-05,152.50356352943342,137.2532071764901,167.75391988237678
