Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2025-10-23,335.03025488847345,301.5272293996261,368.5332803773208
2025-10-24,347.37403666070736,312.6366329946366,382.1114403267781
2025-10-25,362.9352048732974,326.64168438596766,399.22872536062715
2025-10-26,363.9270288818566,327.53432599367096,400.31973177004227
2025-10-27,337.25551980196985,303.52996782177286,370.98107178216685
2025-10-28,323.0657175556677,290.7591458001009,355.37228931123445
2025-10-29,336.5377102005026,302.88393918045233,370.1914812205529
2025-10-30,342.45028737449695,308.2052586370473,376.6953161119467
2025-10-31,346.2499327937838,311.6249395144054,380.8749260731622
2025-11-01,357.03843439525076,321.3345909557257,392.74227783477585
2025-11-02,355.2015423195048,319.68138808755435,390.72169655145535
2025-11-03,341.8336552929287,307.65028976363584,376.01702082222164
2025-11-04,338.2583650598124,304.43252855383116,372.08420156579365
2025-11-05,330.425865981426,297.3832793832834,363.46845257956863
2025-11-06,344.57009351171973,310.11308416054777,379.02710286289175
2025-11-07,351.78649105382965,316.6078419484467,386.96514015921264
2025-11-08,352.178070675946,316.9602636083514,387.3958777435406
2025-11-09,345.61565056566644,311.0540855090998,380.1772156222331
2025-11-10,331.6808027349919,298.51272246149273,364.84888300849116
2025-11-11,328.2667217853416,295.44004960680746,361.09339396387577
2025-11-12,332.5588348528896,299.30295136760066,365.81471833817864
2025-11-13,344.65424316427817,310.18881884785037,379.119667480706
2025-11-14,340.28671689093653,306.2580452018429,374.31538858003023
2025-11-15,338.2027716244502,304.3824944620052,372.02304878689523
2025-11-16,358.2002093800338,322.38018844203043,394.02023031803725
2025-11-17,329.9894523857416,296.9905071471674,362.9883976243158
2025-11-18,326.4814282022421,293.8332853820179,359.12957102246634
2025-11-19,337.3147723975655,303.58329515780895,371.0462496373221
2025-11-20,325.97817156802546,293.3803544112229,358.57598872482805
2025-11-21,358.01672296482485,322.21505066834237,393.8183952613074
2025-11-22,349.95370142692116,314.9583312842291,384.9490715696133
2025-11-23,341.795472635361,307.6159253718249,375.97501989889713
2025-11-24,342.2623428338668,308.03610855048015,376.4885771172535
2025-11-25,323.66944931678955,291.3025043851106,356.0363942484685
2025-11-26,332.02713261025434,298.8244193492289,365.2298458712798
2025-11-27,328.6596144256847,295.79365298311626,361.5255758682532
2025-11-28,351.04209230917843,315.9378830782606,386.1463015400963
2025-11-29,352.23179131692154,317.0086121852294,387.4549704486137
2025-11-30,341.7755207088334,307.5979686379501,375.9530727797168
2025-12-01,319.94018817874655,287.9461693608719,351.93420699662124
2025-12-02,327.3516444282216,294.61647998539945,360.0868088710438
2025-12-03,319.51012369717506,287.5591113274576,351.4611360668926
2025-12-04,336.4570162651055,302.811314638595,370.10271789161607
2025-12-05,339.99603687260776,305.996433185347,373.99564055986855
2025-12-06,336.2671609083198,302.64044481748783,369.8938769991518
2025-12-07,339.3222933083364,305.39006397750273,373.25452263917003
2025-12-08,312.9002526722542,281.6102274050288,344.1902779394797
2025-12-09,314.85708332289414,283.37137499060475,346.3427916551836
2025-12-10,328.327212114751,295.4944909032759,361.1599333262261
2025-12-11,315.955923047384,284.3603307426456,347.5515153521224
2025-12-12,328.98580617880754,296.0872255609268,361.8843867966883
2025-12-13,338.61529833082096,304.75376849773886,372.47682816390306
2025-12-14,342.25748249395593,308.03173424456037,376.48323074335156
2025-12-15,322.8698385043836,290.5828546539453,355.156822354822
2025-12-16,324.15720043961164,291.7414803956505,356.57292048357283
2025-12-17,312.5550256871442,281.2995231184298,343.8105282558587
2025-12-18,307.8800718489642,277.0920646640678,338.66807903386064
2025-12-19,341.746344147668,307.57170973290124,375.92097856243487
2025-12-20,329.7154897151396,296.74394074362567,362.6870386866536
2025-12-21,329.6812059152178,296.713085323696,362.6493265067396
2025-12-22,323.390375259993,291.0513377339937,355.72941278599234
2025-12-23,318.0541868315184,286.24876814836654,349.85960551467025
2025-12-24,316.9513895437458,285.25625058937123,348.6465284981204
2025-12-25,369.88727494710133,332.8985474523912,406.8760024418115
2025-12-26,383.54230953574387,345.1880785821695,421.8965404893183
2025-12-27,381.5487742917842,343.3938968626058,419.7036517209626
2025-12-28,382.69908221050247,344.42917398945224,420.96899043155275
2025-12-29,376.0987664484847,338.48888980363625,413.7086430933332
2025-12-30,369.2505416861914,332.3254875175723,406.1755958548106
2025-12-31,370.67586748888874,333.6082807399999,407.74345423777766
2026-01-01,313.6906212718164,282.32155914463476,345.05968339899806
2026-01-02,332.02327481591453,298.8209473343231,365.22560229750604
2026-01-03,322.6271834912447,290.36446514212025,354.8899018403692
2026-01-04,319.2095456088922,287.288591048003,351.13050016978144
2026-01-05,302.0342661769883,271.8308395592895,332.2376927946872
