Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2025-10-23,164.7886301837794,148.30976716540147,181.26749320215734
2025-10-24,187.10673815696066,168.3960643412646,205.81741197265674
2025-10-25,176.2157688718291,158.59419198464622,193.83734575901204
2025-10-26,179.1832389399148,161.26491504592332,197.10156283390629
2025-10-27,170.3705743879377,153.33351694914393,187.4076318267315
2025-10-28,172.31811539076512,155.0863038516886,189.54992692984163
2025-10-29,174.00453440845706,156.60408096761137,191.40498784930278
2025-10-30,174.10290621939237,156.69261559745314,191.51319684133162
2025-10-31,177.6633334223252,159.89700008009268,195.42966676455774
2025-11-01,179.0303607774566,161.12732469971093,196.93339685520226
2025-11-02,180.51189975434227,162.46070977890804,198.56308972977652
2025-11-03,170.09159259721682,153.08243333749513,187.1007518569385
2025-11-04,176.38145846570785,158.74331261913707,194.01960431227866
2025-11-05,172.51155591443649,155.26040032299284,189.76271150588016
2025-11-06,173.29021418402093,155.96119276561885,190.61923560242303
2025-11-07,181.52601408917752,163.37341268025978,199.6786154980953
2025-11-08,183.211598495905,164.89043864631452,201.53275834549552
2025-11-09,179.76713704319596,161.79042333887637,197.74385074751558
2025-11-10,166.14073888511814,149.52666499660634,182.75481277362996
2025-11-11,171.87374537912285,154.68637084121056,189.06111991703514
2025-11-12,168.23627114253244,151.4126440282792,185.05989825678571
2025-11-13,168.6013911311731,151.7412520180558,185.46153024429043
2025-11-14,180.86424424515891,162.77781982064303,198.95066866967483
2025-11-15,183.02740334240744,164.7246630081667,201.3301436766482
2025-11-16,178.82577448617545,160.9431970375579,196.708351934793
2025-11-17,171.23858609306853,154.1147274837617,188.3624447023754
2025-11-18,175.92558448490584,158.33302603641525,193.51814293339643
2025-11-19,170.89856476356903,153.80870828721214,187.98842123992594
2025-11-20,178.872794233259,160.98551480993308,196.7600736565849
2025-11-21,180.3928513772183,162.35356623949647,198.43213651494014
2025-11-22,172.4301505205204,155.18713546846837,189.67316557257246
2025-11-23,180.91658590410472,162.82492731369425,199.0082444945152
2025-11-24,171.10467258402502,153.99420532562252,188.21513984242753
2025-11-25,174.13516613465038,156.72164952118536,191.54868274811543
2025-11-26,171.987215195732,154.78849367615882,189.18593671530522
2025-11-27,169.17874036151613,152.26086632536453,186.09661439766776
2025-11-28,173.9216728737568,156.5295055863811,191.31384016113248
2025-11-29,177.30901953813674,159.57811758432308,195.03992149195042
2025-11-30,175.07815569256968,157.57034012331272,192.58597126182667
2025-12-01,167.46576963031666,150.719192667285,184.21234659334834
2025-12-02,171.3729352799035,154.23564175191314,188.51022880789384
2025-12-03,174.98032798641097,157.48229518776986,192.47836078505208
2025-12-04,170.60743341532864,153.5466900737958,187.66817675686153
2025-12-05,173.63100016652103,156.26790014986892,190.99410018317315
2025-12-06,179.12591376957602,161.2133223926184,197.03850514653362
2025-12-07,181.61235873686505,163.45112286317854,199.77359461055156
2025-12-08,166.99400442584573,150.29460398326117,183.69340486843032
2025-12-09,168.54887964556792,151.69399168101114,185.40376761012473
2025-12-10,168.99760558085995,152.09784502277395,185.89736613894596
2025-12-11,166.2427931926481,149.61851387338328,182.8670725119129
2025-12-12,179.47132487199343,161.5241923847941,197.4184573591928
2025-12-13,176.81733879599025,159.13560491639123,194.4990726755893
2025-12-14,178.58481885951525,160.72633697356372,196.4433007454668
2025-12-15,165.684517674777,149.11606590729932,182.2529694422547
2025-12-16,167.14932235889424,150.43439012300482,183.8642545947837
2025-12-17,171.00620697871832,153.9055862808465,188.10682767659017
2025-12-18,167.26029807195044,150.5342682647554,183.9863278791455
2025-12-19,182.7047225524643,164.43425029721786,200.97519480771072
2025-12-20,175.48350322598085,157.93515290338277,193.03185354857897
2025-12-21,177.52950518332855,159.7765546649957,195.28245570166143
2025-12-22,171.44044537841336,154.29640084057203,188.5844899162547
2025-12-23,163.47470427440413,147.12723384696372,179.82217470184457
2025-12-24,162.27041073039757,146.04336965735783,178.49745180343734
2025-12-25,170.68929412384915,153.62036471146425,187.75822353623408
2025-12-26,186.92227074535543,168.2300436708199,205.614497819891
2025-12-27,182.37996650357744,164.1419698532197,200.6179631539352
2025-12-28,197.2540583218443,177.52865248965986,216.97946415402873
2025-12-29,189.19587082930158,170.27628374637143,208.11545791223176
2025-12-30,175.2091674550685,157.68825070956166,192.73008420057536
2025-12-31,181.90820551258312,163.71738496132483,200.09902606384145
2026-01-01,174.4933818590061,157.04404367310548,191.9427200449067
2026-01-02,183.00861646697825,164.70775482028043,201.3094781136761
2026-01-03,180.08916325112222,162.08024692601,198.09807957623445
2026-01-04,179.41348975050101,161.47214077545092,197.35483872555113
2026-01-05,169.53241042343703,152.57916938109332,186.48565146578073
