Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2025-10-23,132.54527883347973,119.29075095013175,145.7998067168277
2025-10-24,134.66430032248766,121.1978702902389,148.13073035473644
2025-10-25,137.98406530870753,124.18565877783678,151.7824718395783
2025-10-26,136.68125939135825,123.01313345222243,150.3493853304941
2025-10-27,133.86189866776516,120.47570880098864,147.2480885345417
2025-10-28,128.38565649310775,115.54709084379698,141.22422214241854
2025-10-29,127.90900436131912,115.11810392518721,140.69990479745104
2025-10-30,128.60581539026518,115.74523385123867,141.4663969292917
2025-10-31,134.14860682556235,120.73374614300612,147.5634675081186
2025-11-01,136.82046001499089,123.1384140134918,150.50250601648997
2025-11-02,130.46213344999842,117.41592010499858,143.50834679499826
2025-11-03,125.34495542951558,112.81045988656402,137.87945097246714
2025-11-04,125.15894243648053,112.64304819283248,137.6748366801286
2025-11-05,130.16483983054943,117.14835584749449,143.1813238136044
2025-11-06,131.94886314805515,118.75397683324964,145.14374946286068
2025-11-07,133.53614462653238,120.18253016387914,146.88975908918562
2025-11-08,133.2118223432967,119.89064010896702,146.53300457762637
2025-11-09,133.65889561883932,120.29300605695539,147.02478518072326
2025-11-10,129.92194539268306,116.92975085341476,142.91413993195138
2025-11-11,124.46620858697669,112.01958772827902,136.91282944567436
2025-11-12,127.26905453642495,114.54214908278246,139.99595999006746
2025-11-13,128.9795565374223,116.08160088368007,141.87751219116453
2025-11-14,133.94325081675618,120.54892573508056,147.3375758984318
2025-11-15,132.99464376918542,119.69517939226688,146.29410814610398
2025-11-16,134.8790305244819,121.3911274720337,148.36693357693008
2025-11-17,119.09286532493529,107.18357879244176,131.00215185742883
2025-11-18,127.45126767375099,114.7061409063759,140.1963944411261
2025-11-19,123.95038592637795,111.55534733374016,136.34542451901575
2025-11-20,120.84751484311738,108.76276335880564,132.93226632742912
2025-11-21,132.83238848894496,119.54914964005046,146.11562733783947
2025-11-22,134.82849519371072,121.34564567433965,148.3113447130818
2025-11-23,130.88632113111905,117.79768901800715,143.97495324423096
2025-11-24,127.2066282669378,114.48596544024402,139.9272910936316
2025-11-25,128.69480568121028,115.82532511308926,141.56428624933133
2025-11-26,127.79618217147313,115.01656395432582,140.57580038862045
2025-11-27,128.44755182824264,115.60279664541838,141.29230701106692
2025-11-28,132.26966814636256,119.0427013317263,145.49663496099882
2025-11-29,130.4523879683963,117.40714917155667,143.49762676523594
2025-11-30,126.13448100557476,113.52103290501728,138.74792910613223
2025-12-01,123.14683489805786,110.83215140825207,135.46151838786366
2025-12-02,121.51819417017673,109.36637475315905,133.6700135871944
2025-12-03,128.80966492661486,115.92869843395337,141.69063141927634
2025-12-04,122.86277921949006,110.57650129754106,135.14905714143907
2025-12-05,129.60398502738906,116.64358652465016,142.56438353012797
2025-12-06,130.49631597249785,117.44668437524807,143.54594756974765
2025-12-07,129.08611091688158,116.17749982519342,141.99472200856974
2025-12-08,126.8431250832183,114.15881257489647,139.52743759154015
2025-12-09,121.00501387209674,108.90451248488706,133.10551525930643
2025-12-10,122.85407962104958,110.56867165894462,135.13948758315453
2025-12-11,120.40968066291822,108.3687125966264,132.45064872921006
2025-12-12,124.95235533217325,112.45711979895593,137.4475908653906
2025-12-13,126.52260181886996,113.87034163698297,139.17486200075697
2025-12-14,127.76334558723299,114.9870110285097,140.5396801459563
2025-12-15,120.56798787777592,108.51118908999833,132.62478666555353
2025-12-16,119.77701723187327,107.79931550868595,131.7547189550606
2025-12-17,117.89401810491853,106.10461629442668,129.68341991541038
2025-12-18,120.95141870604924,108.85627683544432,133.04656057665417
2025-12-19,123.40823581437651,111.06741223293886,135.7490593958142
2025-12-20,128.72587329252258,115.85328596327032,141.59846062177485
2025-12-21,126.92709079993713,114.23438171994343,139.61979987993087
2025-12-22,117.02642480069959,105.32378232062963,128.72906728076956
2025-12-23,119.64268013831091,107.67841212447982,131.606948152142
2025-12-24,118.4253576449581,106.58282188046229,130.2678934094539
2025-12-25,126.89688280827986,114.20719452745188,139.58657108910785
2025-12-26,142.36045137501264,128.12440623751138,156.5964965125139
2025-12-27,127.01269381586172,114.31142443427555,139.7139631974479
2025-12-28,136.70332556555397,123.03299300899857,150.3736581221094
2025-12-29,131.0218342619973,117.91965083579757,144.12401768819703
2025-12-30,124.52233571305578,112.07010214175021,136.97456928436137
2025-12-31,131.07158230779027,117.96442407701124,144.17874053856931
2026-01-01,117.21925146849222,105.497326321643,128.94117661534145
2026-01-02,124.04032103011559,111.63628892710403,136.44435313312715
2026-01-03,122.74816128781416,110.47334515903275,135.02297741659558
2026-01-04,127.02839988019883,114.32555989217896,139.73123986821872
2026-01-05,118.44705000771384,106.60234500694246,130.29175500848524
