Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2025-10-23,156.29815875384335,140.66834287845901,171.9279746292277
2025-10-24,157.9683539951946,142.17151859567514,173.76518939471407
2025-10-25,159.06346358562175,143.1571172270596,174.96980994418394
2025-10-26,154.6000588047994,139.14005292431946,170.06006468527934
2025-10-27,149.68445462281858,134.71600916053671,164.65290008510044
2025-10-28,155.09336192382608,139.5840257314435,170.6026981162087
2025-10-29,157.09497880121643,141.3854809210948,172.8044766813381
2025-10-30,148.44121834445178,133.59709651000662,163.28534017889697
2025-10-31,158.02649255449117,142.22384329904204,173.8291418099403
2025-11-01,159.77149553240838,143.79434597916756,175.74864508564923
2025-11-02,160.7267599649253,144.65408396843276,176.79943596141783
2025-11-03,149.8155122135438,134.83396099218942,164.79706343489818
2025-11-04,153.593647730001,138.23428295700091,168.95301250300113
2025-11-05,150.87909250304082,135.79118325273674,165.96700175334493
2025-11-06,152.29926761031405,137.06934084928264,167.52919437134545
2025-11-07,161.64686191724638,145.48217572552176,177.81154810897104
2025-11-08,160.02346837987082,144.02112154188373,176.0258152178579
2025-11-09,158.6954586709114,142.82591280382024,174.56500453800254
2025-11-10,152.09187485423337,136.88268736881002,167.3010623396567
2025-11-11,152.1772899575123,136.95956096176107,167.39501895326353
2025-11-12,151.33909073484872,136.20518166136387,166.4729998083336
2025-11-13,151.69879700565764,136.52891730509188,166.86867670622343
2025-11-14,165.0103340169726,148.50930061527535,181.51136741866986
2025-11-15,161.8670292163486,145.68032629471375,178.0537321379835
2025-11-16,159.2760979707965,143.34848817371687,175.20370776787618
2025-11-17,154.69748165144824,139.22773348630344,170.16722981659308
2025-11-18,151.57270416762842,136.4154337508656,166.72997458439127
2025-11-19,156.19280580586792,140.57352522528114,171.81208638645472
2025-11-20,153.76121532060367,138.38509378854332,169.13733685266405
2025-11-21,159.95857916948572,143.96272125253714,175.9544370864343
2025-11-22,161.6749906932707,145.50749162394362,177.84248976259778
2025-11-23,155.53231412834415,139.97908271550975,171.0855455411786
2025-11-24,149.27404734807158,134.34664261326444,164.20145208287875
2025-11-25,149.08911374611122,134.18020237150012,163.99802512072236
2025-11-26,153.19361683933803,137.87425515540423,168.51297852327184
2025-11-27,158.07137534346313,142.26423780911682,173.87851287780947
2025-11-28,167.25695556099768,150.53126000489792,183.98265111709748
2025-11-29,162.41001984360875,146.16901785924787,178.65102182796963
2025-11-30,162.0125857729119,145.81132719562072,178.21384435020312
2025-12-01,147.3541022282013,132.61869200538118,162.08951245102145
2025-12-02,151.22169707650718,136.09952736885646,166.3438667841579
2025-12-03,150.4925984265219,135.44333858386972,165.5418582691741
2025-12-04,151.02351817616213,135.92116635854592,166.12586999377837
2025-12-05,160.07585072789084,144.06826565510175,176.08343580067995
2025-12-06,159.16763893688702,143.2508750431983,175.08440283057573
2025-12-07,154.5775682501015,139.11981142509137,170.03532507511167
2025-12-08,155.2937496593668,139.7643746934301,170.82312462530348
2025-12-09,149.7426025775829,134.7683423198246,164.71686283534117
2025-12-10,153.7787464438472,138.4008717994625,169.15662108823196
2025-12-11,159.41658585575053,143.47492727017547,175.35824444132558
2025-12-12,157.92724767235583,142.13452290512026,173.71997243959143
2025-12-13,153.01572398504572,137.71415158654116,168.3172963835503
2025-12-14,159.90969553975452,143.91872598577908,175.90066509373
2025-12-15,156.52206554711142,140.86985899240028,172.17427210182257
2025-12-16,159.16973171170267,143.2527585405324,175.08670488287294
2025-12-17,149.42406703036505,134.48166032732854,164.36647373340156
2025-12-18,154.7338749015867,139.26048741142802,170.20726239174536
2025-12-19,159.46816414417515,143.52134772975765,175.41498055859267
2025-12-20,160.5911539761382,144.53203857852438,176.65026937375202
2025-12-21,169.04378369531779,152.13940532578602,185.94816206484958
2025-12-22,148.68664695172836,133.81798225655552,163.5553116469012
2025-12-23,154.0933149115665,138.68398342040985,169.50264640272314
2025-12-24,154.77023537211008,139.29321183489907,170.2472589093211
2025-12-25,160.46844476323702,144.42160028691333,176.51528923956073
2025-12-26,169.09882731547498,152.18894458392748,186.0087100470225
2025-12-27,166.8825145831808,150.19426312486274,183.5707660414989
2025-12-28,177.63601214340798,159.8724109290672,195.3996133577488
2025-12-29,174.29244334889597,156.86319901400637,191.72168768378558
2025-12-30,163.4661726321452,147.1195553689307,179.81278989535974
2025-12-31,169.73460002718335,152.76114002446502,186.7080600299017
2026-01-01,152.36667946563838,137.13001151907454,167.60334741220223
2026-01-02,162.35604208299844,146.1204378746986,178.5916462912983
2026-01-03,161.13002975402708,145.01702677862437,177.2430327294298
2026-01-04,164.7000087046264,148.23000783416379,181.17000957508907
2026-01-05,153.42624914754697,138.0836242327923,168.76887406230168
