Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2025-10-23,153.7770537110179,138.39934833991612,169.1547590821197
2025-10-24,166.25837935380045,149.6325414184204,182.8842172891805
2025-10-25,164.40709450348427,147.96638505313584,180.8478039538327
2025-10-26,161.1287805553427,145.01590249980845,177.24165861087698
2025-10-27,151.22120944994202,136.09908850494782,166.34333039493623
2025-10-28,155.06353348193812,139.5571801337443,170.56988683013194
2025-10-29,149.50861530559106,134.55775377503196,164.45947683615017
2025-10-30,153.80630154435576,138.42567138992018,169.18693169879134
2025-10-31,161.38267486523736,145.24440737871362,177.5209423517611
2025-11-01,162.9402228089035,146.64620052801317,179.2342450897939
2025-11-02,167.97466308820034,151.17719677938032,184.7721293970204
2025-11-03,153.05587396643944,137.7502865697955,168.36146136308338
2025-11-04,150.19668157082336,135.17701341374104,165.2163497279057
2025-11-05,151.54104753134376,136.3869427782094,166.69515228447816
2025-11-06,146.13574423008578,131.5221698070772,160.74931865309438
2025-11-07,156.83864089634892,141.15477680671404,172.52250498598383
2025-11-08,157.57494222251287,141.81744800026158,173.33243644476417
2025-11-09,157.1001049558175,141.39009446023576,172.81011545139927
2025-11-10,151.46522945948018,136.31870651353216,166.6117524054282
2025-11-11,148.40062905418853,133.56056614876968,163.2406919596074
2025-11-12,154.13982876084873,138.72584588476386,169.5538116369336
2025-11-13,150.6376283360167,135.57386550241503,165.70139116961838
2025-11-14,158.01202390736714,142.21082151663043,173.81322629810387
2025-11-15,156.9249340807712,141.23244067269408,172.61742748884834
2025-11-16,158.24875883600745,142.4238829524067,174.0736347196082
2025-11-17,152.6239150818367,137.36152357365305,167.8863065900204
2025-11-18,147.42171000052937,132.67953900047644,162.16388100058234
2025-11-19,147.9277652275861,133.1349887048275,162.72054175034472
2025-11-20,148.86827966946436,133.98145170251792,163.7551076364108
2025-11-21,153.10984386552096,137.79885947896886,168.42082825207308
2025-11-22,154.55923000435706,139.10330700392137,170.01515300479278
2025-11-23,155.45746946271254,139.9117225164413,171.0032164089838
2025-11-24,151.89801717721124,136.70821545949013,167.08781889493238
2025-11-25,149.94791090438693,134.95311981394823,164.94270199482563
2025-11-26,149.61897470840037,134.65707723756034,164.58087217924043
2025-11-27,151.45351639193186,136.30816475273866,166.59886803112505
2025-11-28,155.82753295514874,140.24477965963388,171.41028625066363
2025-11-29,157.2685456231372,141.54169106082347,172.9954001854509
2025-11-30,155.67199930326942,140.10479937294247,171.23919923359637
2025-12-01,149.21616460451654,134.2945481440649,164.1377810649682
2025-12-02,146.57719026094017,131.91947123484616,161.2349092870342
2025-12-03,140.95519403632386,126.85967463269148,155.05071343995627
2025-12-04,147.66269231645464,132.8964230848092,162.42896154810012
2025-12-05,159.54406197284234,143.5896557755581,175.49846817012659
2025-12-06,157.94383742905012,142.1494536861451,173.73822117195513
2025-12-07,157.92846809397943,142.1356212845815,173.7213149033774
2025-12-08,151.21782814194515,136.09604532775063,166.33961095613967
2025-12-09,147.70827007798613,132.93744307018753,162.47909708578476
2025-12-10,147.90551252079445,133.114961268715,162.6960637728739
2025-12-11,145.38304121336017,130.84473709202416,159.9213453346962
2025-12-12,153.50291125131918,138.15262012618726,168.8532023764511
2025-12-13,156.1136545633991,140.5022891070592,171.72502001973902
2025-12-14,157.71040190520216,141.93936171468195,173.4814420957224
2025-12-15,146.3014640647597,131.67131765828373,160.93161047123567
2025-12-16,145.26808360188934,130.7412752417004,159.79489196207828
2025-12-17,146.46677716976805,131.82009945279125,161.11345488674488
2025-12-18,148.10217373600642,133.29195636240578,162.91239110960709
2025-12-19,149.3084195838802,134.3775776254922,164.23926154226825
2025-12-20,146.69268048927947,132.02341244035154,161.36194853820743
2025-12-21,151.66586927760392,136.49928234984353,166.8324562053643
2025-12-22,142.29087396590555,128.061786569315,156.5199613624961
2025-12-23,144.24801961059345,129.82321764953412,158.6728215716528
2025-12-24,145.17598097881046,130.65838288092942,159.69357907669152
2025-12-25,145.80972199495,131.228749795455,160.39069419444502
2025-12-26,158.10321402367003,142.29289262130303,173.91353542603704
2025-12-27,154.0347718392573,138.63129465533157,169.43824902318303
2025-12-28,154.90827939991794,139.41745145992616,170.39910733990976
2025-12-29,153.91717004732305,138.52545304259075,169.30888705205538
2025-12-30,143.11245021169313,128.80120519052383,157.42369523286246
2025-12-31,156.92988024695066,141.2368922222556,172.62286827164573
2026-01-01,144.40559433036293,129.96503489732663,158.84615376339923
2026-01-02,153.66486143023423,138.2983752872108,169.03134757325765
2026-01-03,148.503229981908,133.6529069837172,163.3535529800988
2026-01-04,146.98667614758398,132.2880085328256,161.6853437623424
2026-01-05,146.49165847385717,131.84249262647145,161.1408243212429
