Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2025-10-23,182.07473682901443,163.86726314611298,200.28221051191588
2025-10-24,184.3619193664651,165.92572742981858,202.79811130311163
2025-10-25,186.51333628741554,167.862002658674,205.16466991615712
2025-10-26,190.00487821571565,171.00439039414408,209.00536603728722
2025-10-27,181.2574936732771,163.1317443059494,199.38324304060484
2025-10-28,176.8247881456106,159.14230933104955,194.50726696017168
2025-10-29,177.25613546467142,159.53052191820427,194.98174901113856
2025-10-30,171.7722759038379,154.59504831345413,188.94950349422172
2025-10-31,184.36699518278013,165.93029566450213,202.80369470105816
2025-11-01,188.39294533070057,169.55365079763052,207.23223986377064
2025-11-02,186.89843293389438,168.20858964050495,205.58827622728384
2025-11-03,177.4686502636082,159.7217852372474,195.21551528996903
2025-11-04,175.52355213455286,157.97119692109757,193.07590734800817
2025-11-05,175.01349448419845,157.51214503577862,192.5148439326183
2025-11-06,172.32233471219917,155.09010124097927,189.5545681834191
2025-11-07,185.41742124523856,166.8756791207147,203.95916336976242
2025-11-08,184.06772728225027,165.66095455402524,202.4745000104753
2025-11-09,183.93305885235557,165.53975296712002,202.32636473759115
2025-11-10,171.3656110937724,154.22904998439517,188.50217220314966
2025-11-11,165.3843091613924,148.84587824525315,181.92274007753164
2025-11-12,176.25168004721036,158.62651204248934,193.8768480519314
2025-11-13,170.45877506714447,153.41289756043003,187.50465257385895
2025-11-14,177.3705386116335,159.63348475047016,195.10759247279685
2025-11-15,182.33294415266676,164.09964973740009,200.56623856793345
2025-11-16,178.2367622998954,160.41308606990586,196.06043852988495
2025-11-17,174.28401790698015,156.85561611628214,191.71241969767817
2025-11-18,172.4074866140168,155.1667379526151,189.64823527541847
2025-11-19,172.26906277894935,155.04215650105442,189.4959690568443
2025-11-20,164.9525238249503,148.45727144245527,181.44777620744534
2025-11-21,181.78831746874542,163.60948572187087,199.96714921561997
2025-11-22,178.1905761210355,160.37151850893196,196.00963373313905
2025-11-23,175.68552250937242,158.11697025843517,193.25407476030966
2025-11-24,168.62676067814238,151.76408461032815,185.48943674595662
2025-11-25,161.8238499716397,145.64146497447572,178.00623496880368
2025-11-26,168.7924839901129,151.91323559110162,185.67173238912423
2025-11-27,163.6244791871172,147.26203126840548,179.98692710582893
2025-11-28,170.52895523557035,153.47605971201332,187.5818507591274
2025-11-29,169.59593482589463,152.63634134330516,186.5555283084841
2025-11-30,177.97614378990914,160.17852941091823,195.7737581689001
2025-12-01,163.53859835236375,147.18473851712739,179.89245818760014
2025-12-02,170.33214878088066,153.29893390279258,187.36536365896873
2025-12-03,163.13546397409374,146.82191757668437,179.44901037150314
2025-12-04,158.9236893151635,143.03132038364714,174.81605824667986
2025-12-05,168.72496012572677,151.8524641131541,185.59745613829946
2025-12-06,176.0620543892765,158.45584895034887,193.66825982820419
2025-12-07,171.12509381307152,154.01258443176437,188.2376031943787
2025-12-08,161.31292657062625,145.18163391356362,177.44421922768888
2025-12-09,163.26206516740152,146.93585865066137,179.5882716841417
2025-12-10,164.0106118704541,147.6095506834087,180.41167305749954
2025-12-11,165.6416270865135,149.07746437786216,182.20578979516486
2025-12-12,174.42690110909814,156.98421099818833,191.86959122000798
2025-12-13,168.2047478959916,151.38427310639244,185.0252226855908
2025-12-14,164.71884554986372,148.24696099487736,181.1907301048501
2025-12-15,159.25201920123598,143.3268172811124,175.1772211213596
2025-12-16,161.05372251025838,144.94835025923254,177.15909476128422
2025-12-17,156.7781398953787,141.10032590584083,172.4559538849166
2025-12-18,156.44594089260931,140.8013468033484,172.09053498187026
2025-12-19,168.19016802034992,151.37115121831494,185.00918482238492
2025-12-20,166.56323459550933,149.9069111359584,183.21955805506028
2025-12-21,166.4434140061173,149.7990726055056,183.08775540672906
2025-12-22,155.66062009871874,140.09455808884687,171.22668210859064
2025-12-23,156.97145350109346,141.27430815098413,172.66859885120283
2025-12-24,154.42956876453323,138.98661188807992,169.87252564098657
2025-12-25,185.14776873728655,166.6329918635579,203.66254561101522
2025-12-26,199.66161505571827,179.69545355014645,219.62777656129012
2025-12-27,190.34019801892373,171.30617821703137,209.3742178208161
2025-12-28,200.62044857819544,180.5584037203759,220.682493436015
2025-12-29,194.73984801358614,175.26586321222754,214.21383281494477
2025-12-30,183.8821827602788,165.4939644842509,202.27040103630668
2025-12-31,187.4115115184586,168.67036036661275,206.1526626703045
2026-01-01,149.97800066848717,134.98020060163844,164.9758007353359
2026-01-02,158.9596097429817,143.06364876868355,174.8555707172799
2026-01-03,158.33559183974617,142.50203265577156,174.16915102372081
2026-01-04,161.68003498737673,145.51203148863905,177.8480384861144
2026-01-05,153.22746017725257,137.90471415952732,168.55020619497785
