Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2025-10-23,184.81553208776256,166.3339788789863,203.29708529653882
2025-10-24,190.26298721248875,171.23668849123987,209.28928593373763
2025-10-25,196.19567627886644,176.5761086509798,215.8152439067531
2025-10-26,185.85591718767452,167.27032546890706,204.44150890644198
2025-10-27,183.96837063095384,165.57153356785847,202.36520769404925
2025-10-28,179.07406339975364,161.1666570597783,196.98146973972902
2025-10-29,187.31455197309072,168.58309677578166,206.0460071703998
2025-10-30,188.11332855706456,169.30199570135812,206.92466141277103
2025-10-31,186.9861134872354,168.28750213851185,205.68472483595895
2025-11-01,187.58049814306088,168.8224483287548,206.33854795736698
2025-11-02,192.47311412104725,173.22580270894252,211.720425533152
2025-11-03,178.77660229935498,160.8989420694195,196.6542625292905
2025-11-04,179.82497194382637,161.84247474944374,197.80746913820903
2025-11-05,179.8965818235354,161.90692364118186,197.88624000588896
2025-11-06,172.725807578104,155.4532268202936,189.9983883359144
2025-11-07,188.3612510389098,169.52512593501885,207.1973761428008
2025-11-08,185.74584009875036,167.17125608887534,204.32042410862542
2025-11-09,186.26018065216113,167.63416258694502,204.88619871737725
2025-11-10,184.05449684776738,165.64904716299066,202.45994653254414
2025-11-11,174.21541107603923,156.7938699684353,191.63695218364316
2025-11-12,181.42668552618966,163.2840169735707,199.56935407880863
2025-11-13,177.34500176383028,159.61050158744726,195.07950194021333
2025-11-14,186.06786590565915,167.46107931509323,204.67465249622506
2025-11-15,189.68568029856073,170.71711226870465,208.65424832841683
2025-11-16,187.88921284046958,169.10029155642263,206.67813412451656
2025-11-17,179.6342704447016,161.67084340023143,197.59769748917176
2025-11-18,180.8597974934277,162.77381774408494,198.94577724277048
2025-11-19,176.06662116724786,158.45995905052308,193.67328328397267
2025-11-20,174.8898637364544,157.40087736280896,192.37885011009985
2025-11-21,181.8797535876739,163.69177822890651,200.0677289464413
2025-11-22,182.60928864145944,164.3483597773135,200.8702175056054
2025-11-23,195.74463238998823,176.1701691509894,215.31909562898707
2025-11-24,180.71462166768242,162.64315950091418,198.7860838344507
2025-11-25,171.3824720387938,154.2442248349144,188.52071924267318
2025-11-26,171.30496808766213,154.17447127889594,188.43546489642836
2025-11-27,177.46978208641866,159.7228038777768,195.21676029506054
2025-11-28,186.29415892194376,167.6647430297494,204.92357481413816
2025-11-29,186.10551665639926,167.49496499075934,204.7160683220392
2025-11-30,183.09411175170706,164.78470057653635,201.40352292687777
2025-12-01,174.6039385391557,157.14354468524013,192.06433239307128
2025-12-02,176.00663735543753,158.40597361989379,193.6073010909813
2025-12-03,174.97688812309454,157.47919931078508,192.474576935404
2025-12-04,166.7485815133697,150.07372336203272,183.42343966470668
2025-12-05,182.22489406222408,164.0024046560017,200.4473834684465
2025-12-06,179.86864366128873,161.88177929515987,197.8555080274176
2025-12-07,183.25092911405324,164.92583620264793,201.57602202545857
2025-12-08,184.13545355021512,165.7219081951936,202.54899890523666
2025-12-09,174.85359471292068,157.3682352416286,192.33895418421275
2025-12-10,172.30741390563892,155.07667251507505,189.53815529620283
2025-12-11,176.4048753783372,158.7643878405035,194.04536291617094
2025-12-12,183.3501759599672,165.0151583639705,201.68519355596393
2025-12-13,182.93971096780712,164.64573987102642,201.23368206458784
2025-12-14,183.3907685425962,165.05169168833658,201.72984539685584
2025-12-15,179.57311200129843,161.61580080116858,197.53042320142828
2025-12-16,168.3987996257522,151.55891966317697,185.23867958832741
2025-12-17,173.74294631001075,156.36865167900967,191.11724094101183
2025-12-18,168.74398251458805,151.86958426312924,185.61838076604687
2025-12-19,182.24172437417099,164.0175519367539,200.4658968115881
2025-12-20,176.98900824289794,159.29010741860816,194.68790906718775
2025-12-21,178.5183790147076,160.66654111323683,196.37021691617838
2025-12-22,170.1864193230266,153.16777739072396,187.20506125532927
2025-12-23,174.3511879483197,156.91606915348774,191.7863067431517
2025-12-24,173.96846940873445,156.571622467861,191.36531634960792
2025-12-25,191.13069946067537,172.01762951460785,210.24376940674293
2025-12-26,213.71678229798306,192.34510406818475,235.0884605277814
2025-12-27,208.33571936605483,187.50214742944937,229.16929130266033
2025-12-28,214.4924460245624,193.04320142210616,235.94169062701866
2025-12-29,212.70859607360418,191.43773646624376,233.97945568096463
2025-12-30,204.62324207436404,184.16091786692763,225.08556628180045
2025-12-31,211.56723304214051,190.41050973792647,232.72395634635458
2026-01-01,170.83176022888466,153.7485842059962,187.91493625177316
2026-01-02,172.97977337428293,155.68179603685465,190.27775071171123
2026-01-03,175.5398951519166,157.98590563672494,193.09388466710828
2026-01-04,180.70501218831072,162.63451096947966,198.7755134071418
2026-01-05,175.67614478938555,158.108530310447,193.2437592683241
