Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2025-10-23,217.45266349904102,195.70739714913694,239.19792984894514
2025-10-24,227.39122949254045,204.6521065432864,250.1303524417945
2025-10-25,244.27288382258251,219.84559544032427,268.7001722048408
2025-10-26,237.6489529533744,213.88405765803697,261.4138482487119
2025-10-27,220.79266603498917,198.71339943149025,242.8719326384881
2025-10-28,227.1271986604176,204.41447879437584,249.8399185264594
2025-10-29,212.90605559060327,191.61545003154296,234.1966611496636
2025-10-30,224.79875941022195,202.31888346919976,247.27863535124416
2025-10-31,237.52785017452695,213.77506515707427,261.2806351919797
2025-11-01,240.24130627776793,216.21717564999113,264.26543690554473
2025-11-02,231.55616554607943,208.40054899147148,254.7117821006874
2025-11-03,225.28754610755053,202.75879149679548,247.8163007183056
2025-11-04,220.76860824131595,198.69174741718436,242.84546906544756
2025-11-05,226.11042000385171,203.49937800346655,248.7214620042369
2025-11-06,220.96212692401954,198.86591423161758,243.0583396164215
2025-11-07,234.43506955311426,210.99156259780284,257.8785765084257
2025-11-08,231.82063707611277,208.6385733685015,255.00270078372407
2025-11-09,239.26507803682023,215.3385702331382,263.1915858405023
2025-11-10,228.97447313058476,206.07702581752628,251.87192044364326
2025-11-11,224.08275064588216,201.67447558129393,246.49102571047038
2025-11-12,225.34103081435842,202.8069277329226,247.87513389579428
2025-11-13,218.67405380509825,196.80664842458845,240.5414591856081
2025-11-14,235.13959234470363,211.62563311023328,258.653551579174
2025-11-15,236.2944408788464,212.66499679096177,259.92388496673107
2025-11-16,248.3603680622792,223.52433125605128,273.19640486850716
2025-11-17,220.30610090432535,198.27549081389282,242.3367109947579
2025-11-18,231.94558511871293,208.75102660684163,255.14014363058425
2025-11-19,229.86963739930985,206.88267365937887,252.85660113924087
2025-11-20,226.67104753707753,204.00394278336978,249.3381522907853
2025-11-21,244.63642797974157,220.1727851817674,269.10007077771576
2025-11-22,238.41636938148466,214.5747324433362,262.2580063196331
2025-11-23,238.52461650579326,214.67215485521393,262.3770781563726
2025-11-24,225.28484274511808,202.75635847060627,247.81332701962992
2025-11-25,231.07369620672685,207.96632658605418,254.18106582739955
2025-11-26,230.5306235352938,207.47756118176443,253.58368588882323
2025-11-27,222.79012296715845,200.5111106704426,245.06913526387433
2025-11-28,230.97155187618557,207.87439668856703,254.06870706380414
2025-11-29,236.04010188830676,212.4360916994761,259.64411207713744
2025-11-30,233.37595130901292,210.03835617811163,256.71354643991424
2025-12-01,225.44509283439794,202.90058355095815,247.98960211783776
2025-12-02,231.34883584120368,208.21395225708332,254.48371942532407
2025-12-03,223.7260586111499,201.35345275003493,246.09866447226491
2025-12-04,225.62737811297777,203.06464030168,248.19011592427557
2025-12-05,237.4050308642927,213.66452777786344,261.145533950722
2025-12-06,241.00693003161024,216.90623702844923,265.1076230347713
2025-12-07,227.05329237848377,204.34796314063541,249.75862161633216
2025-12-08,223.1977745990637,200.87799713915734,245.5175520589701
2025-12-09,226.92382914520817,204.23144623068737,249.616212059729
2025-12-10,231.42291547186647,208.28062392467984,254.56520701905313
2025-12-11,223.80454996020723,201.4240949641865,246.18500495622797
2025-12-12,228.87656429865015,205.98890786878513,251.7642207285152
2025-12-13,240.1940503525,216.17464531725,264.21345538775
2025-12-14,234.54965984627984,211.09469386165185,258.00462583090786
2025-12-15,220.7659787914695,198.68938091232255,242.84257667061647
2025-12-16,223.35215460975758,201.01693914878183,245.68737007073335
2025-12-17,225.37121780498106,202.83409602448296,247.90833958547918
2025-12-18,223.49937087925016,201.14943379132515,245.8493079671752
2025-12-19,227.59770517359559,204.83793465623603,250.35747569095517
2025-12-20,241.66971336130067,217.5027420251706,265.83668469743077
2025-12-21,243.41150958886462,219.07035862997816,267.7526605477511
2025-12-22,229.30369935204627,206.37332941684164,252.23406928725092
2025-12-23,221.2327658657138,199.10948927914242,243.35604245228518
2025-12-24,225.5010652396281,202.9509587156653,248.05117176359093
2025-12-25,232.57961812307428,209.32165631076685,255.83757993538174
2025-12-26,244.18651110310694,219.76785999279625,268.60516221341766
2025-12-27,245.72744609041814,221.15470148137632,270.30019069945996
2025-12-28,246.1160237810352,221.50442140293168,270.72762615913877
2025-12-29,249.36993957015068,224.43294561313562,274.30693352716577
2025-12-30,233.58077272533987,210.22269545280588,256.9388499978739
2025-12-31,250.26930421112414,225.24237379001173,275.2962346322366
2026-01-01,229.84408382359098,206.85967544123187,252.82849220595008
2026-01-02,241.59146169243246,217.43231552318923,265.75060786167575
2026-01-03,238.42539386851695,214.58285448166527,262.2679332553687
2026-01-04,244.47255818610546,220.02530236749493,268.91981400471605
2026-01-05,228.62751602551884,205.76476442296698,251.49026762807074
