Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2025-10-23,372.7504308262327,335.4753877436094,410.025473908856
2025-10-24,382.81786879564265,344.5360819160784,421.099655675207
2025-10-25,380.8094604531988,342.72851440787895,418.89040649851876
2025-10-26,378.10971790740746,340.29874611666673,415.92068969814824
2025-10-27,356.3377320819033,320.70395887371296,391.97150529009366
2025-10-28,366.31845637075395,329.68661073367855,402.95030200782935
2025-10-29,358.34364876622016,322.5092838895981,394.1780136428422
2025-10-30,342.90890873134225,308.618017858208,377.1997996044765
2025-10-31,366.42447450822675,329.7820270574041,403.06692195904947
2025-11-01,372.65949567933586,335.39354611140226,409.92544524726947
2025-11-02,375.7811715313358,338.20305437820224,413.35928868446945
2025-11-03,354.99514773445753,319.4956329610118,390.49466250790334
2025-11-04,363.6636520515529,327.29728684639764,400.0300172567082
2025-11-05,340.7821172752813,306.70390554775315,374.86032900280946
2025-11-06,355.2487545278444,319.72387907506,390.7736299806289
2025-11-07,358.6694212320863,322.80247910887766,394.53636335529495
2025-11-08,376.49740997292633,338.8476689756337,414.147150970219
2025-11-09,370.0518760586377,333.04668845277394,407.05706366450147
2025-11-10,355.63670451594555,320.073034064351,391.20037496754014
2025-11-11,346.2016216518242,311.5814594866418,380.8217838170067
2025-11-12,360.9045767674132,324.81411909067185,396.9950344441545
2025-11-13,358.83463571654545,322.9511721448909,394.71809928820005
2025-11-14,372.7764836104809,335.49883524943283,410.05413197152905
2025-11-15,367.3619909101827,330.6257918191645,404.09819000120103
2025-11-16,371.92545572305346,334.7329101507481,409.11800129535885
2025-11-17,345.00892850259675,310.50803565233707,379.5098213528565
2025-11-18,355.54942929954,319.994486369586,391.10437222949406
2025-11-19,360.69859509944297,324.62873558949866,396.7684546093873
2025-11-20,356.25905335373864,320.6331480183648,391.8849586891125
2025-11-21,360.7382466284029,324.6644219655626,396.8120712912432
2025-11-22,367.92964695892573,331.13668226303315,404.7226116548183
2025-11-23,356.01546343324816,320.41391708992336,391.617009776573
2025-11-24,351.2112478976922,316.090123107923,386.33237268746143
2025-11-25,349.9733397271017,314.9760057543915,384.97067369981187
2025-11-26,333.50260650197066,300.1523458517736,366.85286715216773
2025-11-27,338.0290901890203,304.22618117011825,371.83199920792237
2025-11-28,361.0082010937802,324.9073809844022,397.10902120315825
2025-11-29,360.4799630982312,324.4319667884081,396.52795940805436
2025-11-30,353.80651962182077,318.4258676596387,389.1871715840029
2025-12-01,347.1959349494515,312.4763414545064,381.91552844439667
2025-12-02,345.85789722997066,311.2721075069736,380.44368695296777
2025-12-03,342.4029343682331,308.1626409314098,376.6432278050564
2025-12-04,338.1598422809717,304.34385805287457,371.9758265090689
2025-12-05,367.30261015712955,330.5723491414166,404.03287117284253
2025-12-06,371.04317383598925,333.9388564523903,408.14749121958823
2025-12-07,355.9838306288374,320.38544756595365,391.58221369172117
2025-12-08,337.61062627410115,303.849563646691,371.3716889015113
2025-12-09,344.76074465345124,310.28467018810613,379.2368191187964
2025-12-10,338.57619338314083,304.71857404482677,372.43381272145496
2025-12-11,339.6797978662858,305.71181807965723,373.64777765291444
2025-12-12,362.2860693537246,326.05746241835215,398.5146762890971
2025-12-13,343.86682725668567,309.4801445310171,378.2535099823543
2025-12-14,365.3870555299685,328.8483499769717,401.9257610829654
2025-12-15,339.5678184861117,305.61103663750055,373.52460033472295
2025-12-16,335.89896421469325,302.30906779322396,369.4888606361626
2025-12-17,337.69392240887606,303.92453016798845,371.4633146497637
2025-12-18,337.65513780576356,303.88962402518723,371.42065158633994
2025-12-19,342.7101226360775,308.4391103724697,376.98113489968523
2025-12-20,364.0682013172074,327.6613811854867,400.4750214489282
2025-12-21,353.8586388419571,318.4727749577614,389.2445027261528
2025-12-22,339.33464437194925,305.40117993475434,373.2681088091442
2025-12-23,342.35966487657333,308.123698388916,376.5956313642307
2025-12-24,328.72369166796705,295.85132250117033,361.59606083476376
2025-12-25,346.95467348497914,312.2592061364812,381.6501408334771
2025-12-26,377.4811546619641,339.73303919576773,415.2292701281606
2025-12-27,372.8151022701399,335.5335920431259,410.0966124971539
2025-12-28,371.3462370738248,334.21161336644235,408.4808607812073
2025-12-29,361.35880235780803,325.2229221220272,397.4946825935889
2025-12-30,336.4602094611686,302.81418851505174,370.10623040728547
2025-12-31,348.77965617169895,313.90169055452907,383.6576217888689
2026-01-01,335.5937288569097,302.03435597121876,369.1531017426007
2026-01-02,343.98382178110285,309.58543960299255,378.38220395921314
2026-01-03,343.55109045620384,309.19598141058344,377.90619950182423
2026-01-04,347.1341883920132,312.42076955281186,381.8476072312145
2026-01-05,324.97949131530163,292.48154218377147,357.47744044683185
