Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2025-10-23,144.2106882239248,129.78961940153232,158.6317570463173
2025-10-24,149.7303302775596,134.75729724980366,164.70336330531558
2025-10-25,148.40145226823108,133.56130704140799,163.2415974950542
2025-10-26,150.71731607386465,135.6455844664782,165.78904768125113
2025-10-27,144.51229595137445,130.061066356237,158.9635255465119
2025-10-28,149.20436648559505,134.28392983703554,164.12480313415458
2025-10-29,138.6277214931788,124.76494934386092,152.4904936424967
2025-10-30,146.00000924264288,131.40000831837858,160.60001016690717
2025-10-31,152.3261196929434,137.09350772364905,167.55873166223773
2025-11-01,147.06695706170564,132.36026135553507,161.7736527678762
2025-11-02,149.58732012215557,134.62858810994,164.54605213437114
2025-11-03,140.35934515490467,126.3234106394142,154.39527967039515
2025-11-04,141.92212442796017,127.72991198516415,156.1143368707562
2025-11-05,145.3980615163804,130.85825536474238,159.93786766801847
2025-11-06,142.5856242378513,128.32706181406618,156.84418666163646
2025-11-07,149.08184612787142,134.1736615150843,163.99003074065857
2025-11-08,146.17164516934062,131.55448065240657,160.7888096862747
2025-11-09,142.94940751466447,128.65446676319803,157.24434826613094
2025-11-10,139.2607543656868,125.33467892911813,153.1868298022555
2025-11-11,142.95343522325075,128.65809170092567,157.24877874557583
2025-11-12,135.0705964968531,121.56353684716781,148.57765614653843
2025-11-13,136.1326502777214,122.51938524994927,149.74591530549355
2025-11-14,146.0993093420581,131.48937840785229,160.70924027626393
2025-11-15,142.74849177108385,128.47364259397546,157.02334094819224
2025-11-16,143.01317991142744,128.7118619202847,157.3144979025702
2025-11-17,136.86235329886014,123.17611796897413,150.54858862874616
2025-11-18,134.0099876344618,120.60898887101561,147.41098639790798
2025-11-19,134.83491476869312,121.35142329182382,148.31840624556244
2025-11-20,139.18613955834212,125.26752560250792,153.10475351417634
2025-11-21,140.26401003490648,126.23760903141583,154.29041103839714
2025-11-22,139.20451885735014,125.28406697161513,153.12497074308516
2025-11-23,141.58279030617922,127.4245112755613,155.74106933679715
2025-11-24,138.21382975522855,124.3924467797057,152.03521273075143
2025-11-25,135.42535593005596,121.88282033705036,148.96789152306155
2025-11-26,134.4410720080607,120.99696480725463,147.8851792088668
2025-11-27,135.56325947615974,122.00693352854377,149.11958542377573
2025-11-28,137.22360116527693,123.50124104874924,150.94596128180464
2025-11-29,143.006601402903,128.7059412626127,157.3072615431933
2025-11-30,142.43254268705837,128.18928841835253,156.6757969557642
2025-12-01,133.30735122253242,119.97661610027917,146.63808634478568
2025-12-02,136.8476399263103,123.16287593367927,150.53240391894136
2025-12-03,130.87069666489816,117.78362699840835,143.957766331388
2025-12-04,136.64551085234206,122.98095976710785,150.31006193757628
2025-12-05,140.45288391035223,126.40759551931701,154.49817230138746
2025-12-06,138.87297927102082,124.98568134391874,152.7602771981229
2025-12-07,139.44435685487875,125.49992116939087,153.38879254036664
2025-12-08,132.31111848249884,119.08000663424896,145.54223033074874
2025-12-09,135.5664739325478,122.00982653929303,149.1231213258026
2025-12-10,129.23373463868677,116.3103611748181,142.15710810255547
2025-12-11,129.8086879740529,116.82781917664761,142.7895567714582
2025-12-12,140.8648405545623,126.77835649910608,154.95132461001856
2025-12-13,136.30241950224143,122.67217755201729,149.9326614524656
2025-12-14,139.95466010265184,125.95919409238667,153.95012611291705
2025-12-15,135.22867963710584,121.70581167339526,148.75154760081645
2025-12-16,129.47576661418668,116.52818995276802,142.42334327560536
2025-12-17,132.04094799193416,118.83685319274075,145.2450427911276
2025-12-18,127.00715879463326,114.30644291516994,139.7078746740966
2025-12-19,138.19395882867767,124.3745629458099,152.01335471154545
2025-12-20,136.48011134770945,122.83210021293851,150.12812248248042
2025-12-21,136.9144551725544,123.22300965529897,150.60590068980986
2025-12-22,127.30624824638889,114.57562342175001,140.0368730710278
2025-12-23,124.43654299320305,111.99288869388275,136.88019729252338
2025-12-24,129.74661632497217,116.77195469247495,142.7212779574694
2025-12-25,138.1464906994126,124.33184162947134,151.96113976935388
2025-12-26,154.51915693949363,139.06724124554427,169.97107263344301
2025-12-27,158.02621396863898,142.2235925717751,173.8288353655029
2025-12-28,159.47366052776403,143.52629447498762,175.42102658054043
2025-12-29,151.5331352962051,136.3798217665846,166.68644882582564
2025-12-30,147.30940134412728,132.57846120971456,162.04034147854003
2025-12-31,148.69396608457546,133.82456947611792,163.563362693033
2026-01-01,126.45183768174158,113.80665391356743,139.09702144991576
2026-01-02,132.31063824725553,119.07957442252997,145.5417020719811
2026-01-03,128.1755051686133,115.35795465175198,140.99305568547464
2026-01-04,129.5241131860449,116.57170186744041,142.4765245046494
2026-01-05,123.9415384200813,111.54738457807318,136.33569226208945
