Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2025-10-23,250.57660127879257,225.51894115091332,275.63426140667184
2025-10-24,247.46621495474412,222.7195934592697,272.21283645021856
2025-10-25,244.60953757472882,220.14858381725594,269.0704913322017
2025-10-26,252.7580069888955,227.48220629000593,278.03380768778504
2025-10-27,241.18269479498682,217.06442531548814,265.3009642744855
2025-10-28,241.97166971162534,217.77450274046282,266.1688366827879
2025-10-29,238.58033484158696,214.72230135742828,262.43836832574567
2025-10-30,239.5750378892437,215.61753410031935,263.5325416781681
2025-10-31,254.13556769194284,228.72201092274855,279.5491244611371
2025-11-01,257.1680307807187,231.45122770264683,282.8848338587906
2025-11-02,242.58902887016927,218.33012598315236,266.84793175718625
2025-11-03,238.01532323106227,214.21379090795605,261.8168555541685
2025-11-04,240.620289208329,216.55826028749613,264.68231812916196
2025-11-05,235.0114329907054,211.51028969163485,258.51257628977595
2025-11-06,247.50045614736433,222.7504105326279,272.2505017621008
2025-11-07,247.94283510387584,223.14855159348826,272.73711861426347
2025-11-08,250.58486287937592,225.52637659143832,275.64334916731354
2025-11-09,253.23766349743204,227.91389714768883,278.56142984717525
2025-11-10,235.64230662515817,212.07807596264234,259.206537287674
2025-11-11,229.473597264819,206.5262375383371,252.42095699130093
2025-11-12,236.04335383166097,212.43901844849486,259.6476892148271
2025-11-13,242.79355268450897,218.51419741605807,267.0729079529599
2025-11-14,247.99034665703493,223.19131199133145,272.78938132273845
2025-11-15,245.37277437647973,220.83549693883177,269.9100518141277
2025-11-16,253.58905892435257,228.23015303191733,278.9479648167879
2025-11-17,235.57113600720237,212.01402240648213,259.1282496079226
2025-11-18,234.53336441255368,211.0800279712983,257.98670085380905
2025-11-19,237.46983003199526,213.72284702879574,261.21681303519483
2025-11-20,240.2199885026087,216.19798965234781,264.24198735286956
2025-11-21,259.46351277113644,233.5171614940228,285.4098640482501
2025-11-22,251.91295292111107,226.72165762899996,277.1042482132222
2025-11-23,253.2814077138982,227.95326694250838,278.60954848528803
2025-11-24,233.43126589846173,210.08813930861555,256.7743924883079
2025-11-25,230.79419382715025,207.71477444443522,253.8736132098653
2025-11-26,235.7332704297513,212.15994338677615,259.3065974727264
2025-11-27,235.75509338678893,212.17958404811003,259.3306027254678
2025-11-28,241.74470065232356,217.5702305870912,265.9191707175559
2025-11-29,245.79325445778903,221.21392901201014,270.37257990356795
2025-11-30,248.29261060171902,223.46334954154713,273.12187166189096
2025-12-01,236.1854366493175,212.56689298438576,259.80398031424926
2025-12-02,236.66947487688526,213.00252738919673,260.3364223645738
2025-12-03,235.47980868934073,211.93182782040665,259.02778955827483
2025-12-04,231.55642720978022,208.4007844888022,254.71206993075828
2025-12-05,243.0241962373193,218.72177661358737,267.32661586105127
2025-12-06,239.6279031116027,215.66511280044244,263.590693422763
2025-12-07,253.35983399762392,228.02385059786153,278.69581739738635
2025-12-08,233.235596881829,209.9120371936461,256.5591565700119
2025-12-09,231.936220788815,208.7425987099335,255.12984286769654
2025-12-10,228.47069205312187,205.62362284780968,251.31776125843407
2025-12-11,246.26318993535017,221.63687094181515,270.8895089288852
2025-12-12,239.04890385768806,215.14401347191927,262.9537942434569
2025-12-13,241.84793671833498,217.6631430465015,266.0327303901685
2025-12-14,245.57120714930505,221.01408643437455,270.1283278642356
2025-12-15,234.63371105335602,211.17033994802043,258.09708215869165
2025-12-16,236.09993119086616,212.48993807177953,259.7099243099528
2025-12-17,239.8409422917885,215.85684806260966,263.8250365209674
2025-12-18,233.62511528352928,210.26260375517637,256.98762681188225
2025-12-19,237.76876422041173,213.99188779837056,261.5456406424529
2025-12-20,241.26467410812538,217.13820669731285,265.39114151893796
2025-12-21,243.67336793040107,219.30603113736097,268.0407047234412
2025-12-22,240.06384996214948,216.05746496593454,264.07023495836444
2025-12-23,223.8998657416854,201.50987916751686,246.28985231585395
2025-12-24,235.68581544235477,212.11723389811928,259.2543969865903
2025-12-25,247.77889414280787,223.00100472852708,272.5567835570887
2025-12-26,266.6156313063686,239.95406817573172,293.27719443700545
2025-12-27,262.240262463607,236.0162362172463,288.4642887099677
2025-12-28,272.813075285495,245.53176775694553,300.09438281404454
2025-12-29,272.0916895565106,244.88252060085952,299.30085851216165
2025-12-30,253.99050557324307,228.59145501591877,279.38955613056737
2025-12-31,255.5457913361148,229.99121220250333,281.10037046972633
2026-01-01,228.57824611603172,205.72042150442854,251.43607072763493
2026-01-02,237.13209746664765,213.41888771998288,260.8453072133124
2026-01-03,232.55811929145125,209.30230736230612,255.8139312205964
2026-01-04,243.2135080464442,218.89215724179977,267.53485885108864
2026-01-05,229.81540223726026,206.83386201353423,252.79694246098632
