Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2025-10-23,438.223554145399,394.4011987308591,482.04590955993893
2025-10-24,451.8857895672376,406.6972106105139,497.0743685239614
2025-10-25,444.0771416473778,399.66942748264,488.4848558121156
2025-10-26,455.4499567209022,409.90496104881197,500.99495239299245
2025-10-27,418.1737488490837,376.35637396417536,459.99112373399214
2025-10-28,431.47383013082396,388.32644711774157,474.6212131439064
2025-10-29,418.3937950277008,376.55441552493073,460.2331745304709
2025-10-30,434.13509549762745,390.7215859478647,477.54860504739025
2025-10-31,443.2248075125851,398.90232676132655,487.5472882638436
2025-11-01,446.7905871978772,402.1115284780895,491.46964591766493
2025-11-02,452.67586647034136,407.4082798233072,497.94345311737555
2025-11-03,421.620446670425,379.4584020033825,463.78249133746755
2025-11-04,427.2587955432561,384.5329159889305,469.98467509758177
2025-11-05,414.3359392210665,372.90234529895986,455.7695331431732
2025-11-06,432.174935634091,388.9574420706819,475.3924291975002
2025-11-07,462.67081841223774,416.40373657101395,508.9379002534616
2025-11-08,470.8962456986677,423.80662112880094,517.9858702685345
2025-11-09,447.38543911142995,402.64689520028696,492.123983022573
2025-11-10,431.55789435123313,388.4021049161098,474.71368378635646
2025-11-11,409.2648070657145,368.338326359143,450.191287772286
2025-11-12,436.63563522711814,392.97207170440635,480.29919874983
2025-11-13,429.98650706078064,386.98785635470256,472.9851577668587
2025-11-14,439.98394538712733,395.9855508484146,483.9823399258401
2025-11-15,454.02374784920414,408.6213730642837,499.4261226341246
2025-11-16,440.91673455754267,396.82506110178844,485.00840801329696
2025-11-17,417.62264828178473,375.8603834536063,459.38491310996324
2025-11-18,425.0035958027483,382.50323622247345,467.50395538302314
2025-11-19,411.5756638315082,370.4180974483574,452.7332302146591
2025-11-20,428.6188831283097,385.7569948154787,471.4807714411407
2025-11-21,431.6709104117541,388.5038193705787,474.8380014529296
2025-11-22,431.22433588126154,388.10190229313537,474.3467694693877
2025-11-23,431.90306592641116,388.71275933377007,475.0933725190523
2025-11-24,424.4579859216525,382.01218732948723,466.90378451381775
2025-11-25,412.4729433742011,371.225649036781,453.7202377116213
2025-11-26,405.89604933808477,365.3064444042763,446.4856542718933
2025-11-27,411.61252998962783,370.45127699066506,452.77378298859065
2025-11-28,436.7195562426028,393.0476006183425,480.3915118668631
2025-11-29,426.66126873598154,383.9951418623834,469.32739560957975
2025-11-30,426.40939897543075,383.76845907788766,469.05033887297384
2025-12-01,432.2425998849373,389.0183398964436,475.4668598734311
2025-12-02,407.11809717376565,366.40628745638907,447.82990689114223
2025-12-03,411.09218188434545,369.98296369591094,452.20140007278
2025-12-04,410.24761355856793,369.2228522027111,451.27237491442474
2025-12-05,429.961989768221,386.9657907913989,472.9581887450431
2025-12-06,438.05806346691156,394.2522571202204,481.8638698136028
2025-12-07,440.2372907166913,396.2135616450222,484.26101978836044
2025-12-08,408.83641324007783,367.95277191607005,449.7200545640857
2025-12-09,400.7104700726541,360.6394230653887,440.7815170799196
2025-12-10,420.84906630027365,378.7641596702463,462.933972930301
2025-12-11,409.1247422322234,368.2122680090011,450.0372164554458
2025-12-12,444.06387687100505,399.65748918390454,488.4702645581056
2025-12-13,411.02239657792984,369.9201569201369,452.12463623572285
2025-12-14,430.4784441877884,387.4305997690096,473.5262886065673
2025-12-15,423.6317501845244,381.26857516607197,465.99492520297684
2025-12-16,404.61536185590694,364.1538256703163,445.07689804149766
2025-12-17,405.17646732499713,364.6588205924974,445.6941140574969
2025-12-18,408.9323362871298,368.0391026584168,449.8255699158428
2025-12-19,421.81167682756006,379.6305091448041,463.9928445103161
2025-12-20,423.31181235529266,380.9806311197634,465.64299359082196
2025-12-21,422.59975461504195,380.33977915353773,464.85973007654616
2025-12-22,399.52301275588013,359.5707114802921,439.4753140314682
2025-12-23,414.04976957153605,372.6447926143824,455.45474652868967
2025-12-24,407.3574761049769,366.6217284944792,448.09322371547466
2025-12-25,429.2323833259402,386.3091449933462,472.15562165853424
2025-12-26,456.9390834473959,411.24517510265633,502.6329917921355
2025-12-27,444.17587226811935,399.75828504130743,488.5934594949313
2025-12-28,455.4169811174604,409.8752830057144,500.9586792292065
2025-12-29,436.7225476677843,393.0502929010059,480.39480243456273
2025-12-30,421.45919244521997,379.313273200698,463.605111689742
2025-12-31,411.43337229189825,370.29003506270845,452.5767095210881
2026-01-01,395.7763824360476,356.19874419244286,435.35402067965236
2026-01-02,415.1368928940545,373.62320360464906,456.65058218345996
2026-01-03,435.6979777455025,392.12817997095226,479.2677755200528
2026-01-04,396.147701435151,356.5329312916359,435.7624715786662
2026-01-05,396.41746114569474,356.7757150311253,436.05920726026426
